t(s),H2,N2,NH3
1.000000e-15,5.162662e-43,2.343881e-89,1.000000e+00
1.450000e-15,7.232816e-42,2.593185e-88,1.000000e+00
1.900000e-15,2.460975e-41,8.497543e-88,1.000000e+00
2.350000e-15,4.823090e-41,1.652297e-87,1.000000e+00
2.800000e-15,7.809626e-41,2.666946e-87,1.000000e+00
3.250000e-15,1.354637e-40,4.952085e-87,1.000000e+00
3.700000e-15,2.209265e-40,8.784754e-87,1.000000e+00
4.150000e-15,3.654697e-40,1.801372e-86,1.000000e+00
4.600000e-15,5.738102e-40,3.491617e-86,1.000000e+00
5.050000e-15,8.828530e-40,6.822589e-86,1.000000e+00
5.500000e-15,1.326530e-39,1.483512e-85,1.000000e+00
5.950000e-15,1.957283e-39,3.123091e-85,1.000000e+00
6.400000e-15,2.770726e-39,5.570039e-85,1.000000e+00
6.850000e-15,3.813900e-39,9.532430e-85,1.000000e+00
7.300000e-15,5.209254e-39,1.709974e-84,1.000000e+00
7.750000e-15,6.950284e-39,2.799909e-84,1.000000e+00
8.200000e-15,9.079729e-39,4.295514e-84,1.000000e+00
8.650000e-15,1.179191e-38,7.128476e-84,1.000000e+00
9.100000e-15,1.509532e-38,1.117706e-83,1.000000e+00
9.550000e-15,1.905917e-38,1.666390e-83,1.000000e+00
1.000000e-14,2.386756e-38,2.548609e-83,1.000000e+00
1.450000e-14,1.526323e-37,1.277718e-81,1.000000e+00
1.900000e-14,6.027892e-37,2.277624e-80,1.000000e+00
2.350000e-14,1.736256e-36,1.544825e-79,1.000000e+00
2.800000e-14,4.114526e-36,7.498955e-79,1.000000e+00
3.250000e-14,8.533010e-36,2.939040e-78,1.000000e+00
3.700000e-14,1.611848e-35,9.703403e-78,1.000000e+00
4.150000e-14,2.839190e-35,2.842840e-77,1.000000e+00
4.600000e-14,4.727794e-35,7.573938e-77,1.000001e+00
5.050000e-14,7.515748e-35,1.866841e-76,1.000001e+00
5.500000e-14,1.149134e-34,4.296511e-76,1.000001e+00
5.950000e-14,1.700345e-34,9.706877e-76,1.000001e+00
6.400000e-14,2.445854e-34,2.058635e-75,1.000001e+00
6.850000e-14,3.431739e-34,4.045075e-75,1.000001e+00
7.300000e-14,4.713975e-34,7.774629e-75,1.000001e+00
7.750000e-14,6.350215e-34,1.382250e-74,1.000001e+00
8.200000e-14,8.413520e-34,2.435515e-74,1.000001e+00
8.650000e-14,1.097834e-33,4.095235e-74,1.000001e+00
9.100000e-14,1.413152e-33,6.712025e-74,1.000001e+00
9.550000e-14,1.797018e-33,1.077508e-73,1.000001e+00
1.000000e-13,2.259748e-33,1.681858e-73,1.000001e+00
1.450000e-13,1.436491e-32,7.220918e-72,1.000002e+00
1.900000e-13,5.498997e-32,1.015395e-70,1.000002e+00
2.350000e-13,1.577408e-31,8.245565e-70,1.000002e+00
2.800000e-13,3.755845e-31,4.776506e-69,1.000003e+00
3.250000e-13,7.845178e-31,2.083048e-68,1.000003e+00
3.700000e-13,1.487521e-30,7.491908e-68,1.000004e+00
4.150000e-13,2.618067e-30,2.323339e-67,1.000004e+00
4.600000e-13,4.343627e-30,6.460101e-67,1.000005e+00
5.050000e-13,6.868673e-30,1.638248e-66,1.000005e+00
5.500000e-13,1.043739e-29,3.826112e-66,1.000005e+00
5.950000e-13,1.533643e-29,8.326618e-66,1.000006e+00
6.400000e-13,2.189787e-29,1.709553e-65,1.000006e+00
6.850000e-13,3.050192e-29,3.341416e-65,1.000007e+00
7.300000e-13,4.157885e-29,6.280403e-65,1.000007e+00
7.750000e-13,5.561138e-29,1.136153e-64,1.000007e+00
8.200000e-13,7.313660e-29,1.985781e-64,1.000008e+00
8.650000e-13,9.474774e-29,3.364038e-64,1.000008e+00
9.100000e-13,1.210955e-28,5.547462e-64,1.000009e+00
9.550000e-13,1.528903e-28,8.931420e-64,1.000009e+00
1.000000e-12,1.909032e-28,1.406886e-63,1.000009e+00
1.450000e-12,1.128825e-27,5.497857e-62,1.000013e+00
1.900000e-12,4.030580e-27,7.794964e-61,1.000015e+00
2.350000e-12,1.080352e-26,6.220525e-60,1.000018e+00
2.800000e-12,2.406767e-26,3.421279e-59,1.000020e+00
3.250000e-12,4.712466e-26,1.449736e-58,1.000021e+00
3.700000e-12,8.390263e-26,5.065892e-58,1.000023e+00
4.150000e-12,1.388895e-25,1.526231e-57,1.000024e+00
4.600000e-12,2.170627e-25,4.088125e-57,1.000025e+00
5.050000e-12,3.238204e-25,9.953234e-57,1.000026e+00
5.500000e-12,4.649172e-25,2.239096e-56,1.000027e+00
5.950000e-12,6.464058e-25,4.712982e-56,1.000028e+00
6.400000e-12,8.745853e-25,9.373094e-56,1.000028e+00
6.850000e-12,1.155956e-24,1.775075e-55,1.000029e+00
7.300000e-12,1.497181e-24,3.221306e-55,1.000029e+00
7.750000e-12,1.905054e-24,5.630818e-55,1.000030e+00
8.200000e-12,2.386471e-24,9.521311e-55,1.000030e+00
8.650000e-12,2.948406e-24,1.563040e-54,1.000030e+00
9.100000e-12,3.597897e-24,2.498703e-54,1.000030e+00
9.550000e-12,4.342026e-24,3.899974e-54,1.000031e+00
1.000000e-11,5.187910e-24,5.956420e-54,1.000031e+00
1.450000e-11,2.081801e-23,1.736900e-52,1.000031e+00
1.900000e-11,5.449489e-23,1.917060e-51,1.000032e+00
2.350000e-11,1.133397e-22,1.227757e-50,1.000032e+00
2.800000e-11,2.044489e-22,5.558741e-50,1.000032e+00
3.250000e-11,3.349199e-22,1.980450e-49,1.000032e+00
3.700000e-11,5.118611e-22,5.921993e-49,1.000032e+00
4.150000e-11,7.423965e-22,1.549529e-48,1.000032e+00
4.600000e-11,1.033666e-21,3.650337e-48,1.000032e+00
5.050000e-11,1.392825e-21,7.901030e-48,1.000032e+00
5.500000e-11,1.827046e-21,1.594992e-47,1.000032e+00
5.950000e-11,2.343519e-21,3.037208e-47,1.000032e+00
6.400000e-11,2.949448e-21,5.503658e-47,1.000032e+00
6.850000e-11,3.652055e-21,9.556910e-47,1.000032e+00
7.300000e-11,4.458578e-21,1.599211e-46,1.000032e+00
7.750000e-11,5.376271e-21,2.590580e-46,1.000032e+00
