t(s),H2,N2,NH3
1.000000e-15,4.361521e-42,1.424943e-89,1.000000e+00
1.450000e-15,6.110428e-41,1.576505e-88,1.000000e+00
1.900000e-15,2.079081e-40,5.166010e-88,1.000000e+00
2.350000e-15,4.074643e-40,1.004500e-87,1.000000e+00
2.800000e-15,6.597729e-40,1.621348e-87,1.000000e+00
3.250000e-15,1.144424e-39,3.010578e-87,1.000000e+00
3.700000e-15,1.866432e-39,5.340617e-87,1.000000e+00
4.150000e-15,3.087562e-39,1.095129e-86,1.000000e+00
4.600000e-15,4.847664e-39,2.122699e-86,1.000000e+00
5.050000e-15,7.458519e-39,4.147736e-86,1.000000e+00
5.500000e-15,1.120679e-38,9.018886e-86,1.000000e+00
5.950000e-15,1.653552e-38,1.898657e-85,1.000000e+00
6.400000e-15,2.340765e-38,3.386258e-85,1.000000e+00
6.850000e-15,3.222059e-38,5.795160e-85,1.000000e+00
7.300000e-15,4.400883e-38,1.039564e-84,1.000000e+00
7.750000e-15,5.871740e-38,1.702181e-84,1.000000e+00
8.200000e-15,7.670737e-38,2.611422e-84,1.000000e+00
8.650000e-15,9.962046e-38,4.333697e-84,1.000000e+00
9.100000e-15,1.275283e-37,6.794998e-84,1.000000e+00
9.550000e-15,1.610157e-37,1.013068e-83,1.000000e+00
1.000000e-14,2.016380e-37,1.549405e-83,1.000000e+00
1.450000e-14,1.289468e-36,7.767777e-82,1.000000e+00
1.900000e-14,5.092483e-36,1.384662e-80,1.000000e+00
2.350000e-14,1.466824e-35,9.391632e-80,1.000000e+00
2.800000e-14,3.476033e-35,4.558926e-79,1.000000e+00
3.250000e-14,7.208856e-35,1.786764e-78,1.000000e+00
3.700000e-14,1.361721e-34,5.899100e-78,1.000000e+00
4.150000e-14,2.398603e-34,1.728280e-77,1.000000e+00
4.600000e-14,3.994134e-34,4.604510e-77,1.000000e+00
5.050000e-14,6.349452e-34,1.134930e-76,1.000000e+00
5.500000e-14,9.708111e-34,2.612026e-76,1.000000e+00
5.950000e-14,1.436485e-33,5.901211e-76,1.000000e+00
6.400000e-14,2.066306e-33,1.251529e-75,1.000000e+00
6.850000e-14,2.899200e-33,2.459168e-75,1.000000e+00
7.300000e-14,3.982458e-33,4.726517e-75,1.000000e+00
7.750000e-14,5.364785e-33,8.403265e-75,1.000000e+00
8.200000e-14,7.107905e-33,1.480649e-74,1.000000e+00
8.650000e-14,9.274712e-33,2.489662e-74,1.000000e+00
9.100000e-14,1.193858e-32,4.080515e-74,1.000000e+00
9.550000e-14,1.518156e-32,6.550613e-74,1.000000e+00
1.000000e-13,1.909078e-32,1.022470e-73,1.000000e+00
1.450000e-13,1.213574e-31,4.389890e-72,1.000000e+00
1.900000e-13,4.645654e-31,6.172996e-71,1.000000e+00
2.350000e-13,1.332623e-30,5.012809e-70,1.000000e+00
2.800000e-13,3.173004e-30,2.903828e-69,1.000000e+00
3.250000e-13,6.627742e-30,1.266367e-68,1.000000e+00
3.700000e-13,1.256683e-29,4.554625e-68,1.000000e+00
4.150000e-13,2.211787e-29,1.412448e-67,1.000000e+00
4.600000e-13,3.669566e-29,3.927346e-67,1.000000e+00
5.050000e-13,5.802764e-29,9.959540e-67,1.000000e+00
5.500000e-13,8.817669e-29,2.326040e-66,1.000000e+00
5.950000e-13,1.295645e-28,5.062068e-66,1.000000e+00
6.400000e-13,1.849964e-28,1.039302e-65,1.000000e+00
6.850000e-13,2.576847e-28,2.031372e-65,1.000000e+00
7.300000e-13,3.512640e-28,3.818091e-65,1.000000e+00
7.750000e-13,4.698126e-28,6.907092e-65,1.000000e+00
8.200000e-13,6.178679e-28,1.207230e-64,1.000000e+00
8.650000e-13,8.004414e-28,2.045122e-64,1.000000e+00
9.100000e-13,1.023031e-27,3.372504e-64,1.000000e+00
9.550000e-13,1.291636e-27,5.429733e-64,1.000000e+00
1.000000e-12,1.612774e-27,8.552964e-64,1.000000e+00
1.450000e-12,9.536420e-27,3.342334e-62,1.000000e+00
1.900000e-12,3.405063e-26,4.738810e-61,1.000000e+00
2.350000e-12,9.126872e-26,3.781649e-60,1.000000e+00
2.800000e-12,2.033245e-25,2.079897e-59,1.000000e+00
3.250000e-12,3.981101e-25,8.813361e-59,1.000000e+00
3.700000e-12,7.088100e-25,3.079696e-58,1.000000e+00
4.150000e-12,1.173338e-24,9.278366e-58,1.000000e+00
4.600000e-12,1.833743e-24,2.485278e-57,1.000000e+00
5.050000e-12,2.735628e-24,6.050827e-57,1.000000e+00
5.500000e-12,3.927608e-24,1.361203e-56,1.000000e+00
5.950000e-12,5.460815e-24,2.865138e-56,1.000000e+00
6.400000e-12,7.388464e-24,5.698133e-56,1.000000e+00
6.850000e-12,9.765469e-24,1.079111e-55,1.000000e+00
7.300000e-12,1.264812e-23,1.958309e-55,1.000000e+00
7.750000e-12,1.609381e-23,3.423107e-55,1.000000e+00
8.200000e-12,2.016078e-23,5.788228e-55,1.000000e+00
8.650000e-12,2.490798e-23,9.502081e-55,1.000000e+00
9.100000e-12,3.039484e-23,1.519019e-54,1.000000e+00
9.550000e-12,3.668119e-23,2.370884e-54,1.000000e+00
1.000000e-11,4.382716e-23,3.621044e-54,1.000000e+00
1.450000e-11,1.758692e-22,1.055901e-52,1.000000e+00
1.900000e-11,4.603693e-22,1.165424e-51,1.000000e+00
2.350000e-11,9.574860e-22,7.463807e-51,1.000000e+00
2.800000e-11,1.727171e-21,3.379283e-50,1.000000e+00
3.250000e-11,2.829381e-21,1.203960e-49,1.000000e+00
3.700000e-11,4.324169e-21,3.600112e-49,1.000000e+00
4.150000e-11,6.271716e-21,9.419935e-49,1.000000e+00
4.600000e-11,8.732339e-21,2.219121e-48,1.000000e+00
5.050000e-11,1.176649e-20,4.803213e-48,1.000000e+00
5.500000e-11,1.543477e-20,9.696310e-48,1.000000e+00
5.950000e-11,1.979789e-20,1.846386e-47,1.000000e+00
6.400000e-11,2.491674e-20,3.345797e-47,1.000000e+00
6.850000e-11,3.085232e-20,5.809859e-47,1.000000e+00
