t(s),H2,N2,NH3
1.000000e-15,3.024855e-34,2.562699e-82,-1.485386e-01
1.450000e-15,8.516507e-33,1.359396e-79,-1.484562e-01
1.900000e-15,8.516507e-33,1.359396e-79,-1.484562e-01
2.350000e-15,8.516507e-33,1.359396e-79,-1.484562e-01
2.800000e-15,8.516507e-33,1.359396e-79,-1.484562e-01
3.250000e-15,2.298706e-32,8.355847e-80,-1.484152e-01
3.700000e-15,5.089283e-32,1.544488e-79,-1.483742e-01
4.150000e-15,5.089283e-32,1.544488e-79,-1.483742e-01
4.600000e-15,9.872802e-32,5.790201e-79,-1.483332e-01
5.050000e-15,9.872802e-32,5.790201e-79,-1.483332e-01
5.500000e-15,2.666574e-31,5.767215e-78,-1.482575e-01
5.950000e-15,2.666574e-31,5.767215e-78,-1.482575e-01
6.400000e-15,2.666574e-31,5.767215e-78,-1.482575e-01
6.850000e-15,5.905973e-31,2.020182e-77,-1.481818e-01
7.300000e-15,5.905973e-31,2.020182e-77,-1.481818e-01
7.750000e-15,5.905973e-31,2.020182e-77,-1.481818e-01
8.200000e-15,1.145964e-30,8.716921e-77,-1.481061e-01
8.650000e-15,1.145964e-30,8.716921e-77,-1.481061e-01
9.100000e-15,1.145964e-30,8.716921e-77,-1.481061e-01
9.550000e-15,1.145964e-30,8.716921e-77,-1.481061e-01
1.000000e-14,2.023117e-30,3.314350e-76,-1.480305e-01
1.450000e-14,1.136193e-29,2.099973e-74,-1.477230e-01
1.900000e-14,3.518151e-29,2.630121e-73,-1.474367e-01
2.350000e-14,8.479610e-29,1.794475e-72,-1.471511e-01
2.800000e-14,8.479610e-29,1.794475e-72,-1.471511e-01
3.250000e-14,1.742553e-28,6.656895e-72,-1.468659e-01
3.700000e-14,3.206380e-28,2.752201e-71,-1.465814e-01
4.150000e-14,5.440291e-28,9.609169e-71,-1.462973e-01
4.600000e-14,8.675024e-28,2.813538e-70,-1.460139e-01
5.050000e-14,8.675024e-28,2.813538e-70,-1.460139e-01
5.500000e-14,1.317101e-27,7.297043e-70,-1.457309e-01
5.950000e-14,2.616756e-27,3.232850e-69,-1.451975e-01
6.400000e-14,2.616756e-27,3.232850e-69,-1.451975e-01
6.850000e-14,4.697521e-27,1.383178e-68,-1.446661e-01
7.300000e-14,4.697521e-27,1.383178e-68,-1.446661e-01
7.750000e-14,4.697521e-27,1.383178e-68,-1.446661e-01
8.200000e-14,7.820810e-27,3.888567e-68,-1.441366e-01
8.650000e-14,7.820810e-27,3.888567e-68,-1.441366e-01
9.100000e-14,1.228456e-26,1.108840e-67,-1.436090e-01
9.550000e-14,1.228456e-26,1.108840e-67,-1.436090e-01
1.000000e-13,1.842276e-26,2.812237e-67,-1.430833e-01
1.450000e-13,6.316890e-26,4.256307e-66,-1.411264e-01
1.900000e-13,2.395245e-25,9.394338e-65,-1.382410e-01
2.350000e-13,5.588490e-25,6.374335e-64,-1.358692e-01
2.800000e-13,8.619123e-25,1.801094e-63,-1.344609e-01
3.250000e-13,1.812846e-24,9.477810e-63,-1.316877e-01
3.700000e-13,2.506614e-24,1.998682e-62,-1.303226e-01
4.150000e-13,4.458366e-24,7.507395e-62,-1.276345e-01
4.600000e-13,6.842533e-24,2.031374e-61,-1.253975e-01
5.050000e-13,1.005392e-23,4.928917e-61,-1.231996e-01
5.500000e-13,1.425443e-23,1.076595e-60,-1.210401e-01
5.950000e-13,1.961683e-23,2.271265e-60,-1.189184e-01
6.400000e-13,1.961683e-23,2.271265e-60,-1.189184e-01
6.850000e-13,2.632403e-23,4.503898e-60,-1.168338e-01
7.300000e-13,4.067969e-23,1.243442e-59,-1.135063e-01
7.750000e-13,4.067969e-23,1.243442e-59,-1.135063e-01
8.200000e-13,5.429659e-23,2.433570e-59,-1.111312e-01
8.650000e-13,7.095259e-23,4.524817e-59,-1.088058e-01
9.100000e-13,9.102815e-23,8.116024e-59,-1.065289e-01
9.550000e-13,9.102815e-23,8.116024e-59,-1.065289e-01
1.000000e-12,1.149163e-22,1.402035e-58,-1.042996e-01
1.450000e-12,4.830094e-22,4.223552e-57,-8.833401e-02
1.900000e-12,1.157831e-21,3.478913e-56,-7.671346e-02
2.350000e-12,2.607817e-21,2.553878e-55,-6.476593e-02
2.800000e-12,4.504722e-21,9.997512e-55,-5.624233e-02
3.250000e-12,7.791720e-21,4.014040e-54,-4.748000e-02
