t(s),Temperature(K),Pressure(Pa),Density(kg/m3),U(J/kg)
1.000000e-15,9.000000e+02,1.013250e+05,2.306051e-01,-6.780116e+05
1.450000e-15,9.000000e+02,1.013250e+05,2.306051e-01,-6.780116e+05
1.900000e-15,9.000000e+02,1.013250e+05,2.306051e-01,-6.780116e+05
2.350000e-15,9.000000e+02,1.013250e+05,2.306051e-01,-6.780116e+05
2.800000e-15,9.000000e+02,1.013250e+05,2.306051e-01,-6.780116e+05
3.250000e-15,9.000000e+02,1.013250e+05,2.306051e-01,-6.780116e+05
3.700000e-15,9.000000e+02,1.013250e+05,2.306051e-01,-6.780116e+05
4.150000e-15,9.000000e+02,1.013250e+05,2.306051e-01,-6.780116e+05
4.600000e-15,9.000000e+02,1.013250e+05,2.306051e-01,-6.780116e+05
5.050000e-15,9.000000e+02,1.013250e+05,2.306051e-01,-6.780116e+05
5.500000e-15,9.000000e+02,1.013250e+05,2.306051e-01,-6.780116e+05
5.950000e-15,9.000000e+02,1.013250e+05,2.306051e-01,-6.780116e+05
6.400000e-15,9.000000e+02,1.013250e+05,2.306050e-01,-6.780116e+05
6.850000e-15,9.000000e+02,1.013250e+05,2.306050e-01,-6.780116e+05
7.300000e-15,9.000000e+02,1.013250e+05,2.306050e-01,-6.780116e+05
7.750000e-15,9.000000e+02,1.013250e+05,2.306050e-01,-6.780116e+05
8.200000e-15,9.000000e+02,1.013250e+05,2.306050e-01,-6.780117e+05
8.650000e-15,9.000000e+02,1.013250e+05,2.306050e-01,-6.780117e+05
9.100000e-15,9.000000e+02,1.013250e+05,2.306050e-01,-6.780117e+05
9.550000e-15,9.000000e+02,1.013250e+05,2.306050e-01,-6.780117e+05
1.000000e-14,9.000000e+02,1.013250e+05,2.306050e-01,-6.780117e+05
1.450000e-14,9.000000e+02,1.013250e+05,2.306050e-01,-6.780117e+05
1.900000e-14,9.000000e+02,1.013250e+05,2.306050e-01,-6.780117e+05
2.350000e-14,9.000000e+02,1.013250e+05,2.306050e-01,-6.780118e+05
2.800000e-14,9.000000e+02,1.013250e+05,2.306049e-01,-6.780118e+05
3.250000e-14,9.000000e+02,1.013250e+05,2.306049e-01,-6.780118e+05
3.700000e-14,9.000000e+02,1.013250e+05,2.306049e-01,-6.780119e+05
4.150000e-14,9.000000e+02,1.013250e+05,2.306049e-01,-6.780119e+05
4.600000e-14,9.000000e+02,1.013249e+05,2.306049e-01,-6.780119e+05
