t(s),RU(S1),N2(S1),N(S1),H(S1),NH3(S1),NH2(S1),NH(S1),N2(S2),N(S2),H(S2),NH3(S2),NH2(S2),NH(S2),RU(S2)
1.000000e-15,9.999999e-01,7.709106e-84,2.938957e-32,3.491730e-17,6.855991e-08,3.491730e-17,2.615396e-24,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
1.450000e-15,9.999999e-01,3.857936e-83,2.045454e-31,7.340366e-17,9.940414e-08,7.340364e-17,9.052310e-24,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
1.900000e-15,9.999999e-01,1.025987e-82,6.189791e-31,1.260212e-16,1.302436e-07,1.260212e-16,2.134810e-23,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
2.350000e-15,9.999998e-01,1.892966e-82,1.180813e-30,1.927728e-16,1.610782e-07,1.927727e-16,3.781143e-23,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
2.800000e-15,9.999998e-01,2.986730e-82,1.890048e-30,2.736583e-16,1.919081e-07,2.736582e-16,5.844230e-23,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
3.250000e-15,9.999998e-01,6.138276e-82,2.969615e-30,3.686716e-16,2.227331e-07,3.686714e-16,8.668276e-23,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
3.700000e-15,9.999997e-01,1.174295e-81,4.417132e-30,4.778128e-16,2.535533e-07,4.778125e-16,1.223801e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
4.150000e-15,9.999997e-01,2.567401e-81,6.477524e-30,6.010769e-16,2.843688e-07,6.010765e-16,1.682370e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
4.600000e-15,9.999997e-01,5.063798e-81,9.166146e-30,7.384640e-16,3.151795e-07,7.384635e-16,2.241813e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
5.050000e-15,9.999997e-01,9.804704e-81,1.272226e-29,8.899702e-16,3.459853e-07,8.899696e-16,2.922937e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
5.500000e-15,9.999996e-01,2.011089e-80,1.730582e-29,1.055594e-15,3.767864e-07,1.055593e-15,3.734675e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
5.950000e-15,9.999996e-01,4.009856e-80,2.319061e-29,1.235331e-15,4.075827e-07,1.235330e-15,4.695366e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
6.400000e-15,9.999996e-01,6.942374e-80,3.035374e-29,1.429183e-15,4.383742e-07,1.429182e-15,5.803475e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
6.850000e-15,9.999995e-01,1.147654e-79,3.899163e-29,1.637147e-15,4.691609e-07,1.637145e-15,7.069747e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
7.300000e-15,9.999995e-01,1.954489e-79,4.958293e-29,1.859218e-15,4.999428e-07,1.859217e-15,8.518379e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
7.750000e-15,9.999995e-01,3.091651e-79,6.212348e-29,2.095397e-15,5.307199e-07,2.095395e-15,1.015055e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
8.200000e-15,9.999994e-01,4.627446e-79,7.679068e-29,2.345682e-15,5.614923e-07,2.345679e-15,1.197596e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
8.650000e-15,9.999994e-01,7.413162e-79,9.415429e-29,2.610068e-15,5.922598e-07,2.610065e-15,1.401465e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
9.100000e-15,9.999994e-01,1.134002e-78,1.143030e-28,2.888554e-15,6.230226e-07,2.888551e-15,1.627399e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
9.550000e-15,9.999993e-01,1.661311e-78,1.374827e-28,3.181139e-15,6.537806e-07,3.181135e-15,1.876549e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
1.000000e-14,9.999993e-01,2.470296e-78,1.641492e-28,3.487819e-15,6.845338e-07,3.487815e-15,2.150207e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
1.450000e-14,9.999990e-01,7.824428e-77,7.046892e-28,7.329398e-15,9.918028e-07,7.329385e-15,6.491723e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
1.900000e-14,9.999987e-01,9.929162e-76,2.074448e-27,1.257813e-14,1.298594e-06,1.257810e-14,1.456102e-20,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
2.350000e-14,9.999984e-01,5.809070e-75,4.842097e-27,1.923182e-14,1.604909e-06,1.923176e-14,2.751237e-20,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
