Species_name    Phase     Surf_cov        H   N   Ru  He  
H2              Gas       0               2   0   0   0   
N2              Gas       0               0   2   0   0   
NH3             Gas       0               3   1   0   0   
RU(B)           Bulk      0               0   0   1   0   
RU(S1)          Surface   0.655835        0   0   1   0   
N2(S1)          Surface   6.91674e-05     0   2   0   0   
N(S1)           Surface   0.324837        0   1   0   0   
H(S1)           Surface   0.0189413       1   0   0   0   
NH3(S1)         Surface   9.15004e-07     3   1   0   0   
NH2(S1)         Surface   1.16576e-06     2   1   0   0   
NH(S1)          Surface   0.000315674     1   1   0   0   
N2(S2)          Surface   0               0   2   0   0   
N(S2)           Surface   0               0   1   0   0   
H(S2)           Surface   0               1   0   0   0   
NH3(S2)         Surface   0               3   1   0   0   
NH2(S2)         Surface   0               2   1   0   0   
NH(S2)          Surface   0               1   1   0   0   
RU(S2)          Surface   1               0   0   1   0   
