t(s),H2,N2,NH3
1.000000e-15,1.189001e-41,5.332074e-87,1.000000e+00
1.450000e-15,7.621047e-41,2.754258e-86,1.000000e+00
1.900000e-15,2.046877e-40,1.012204e-85,1.000000e+00
2.350000e-15,5.529049e-40,4.556209e-85,1.000000e+00
2.800000e-15,1.141009e-39,1.291338e-84,1.000000e+00
3.250000e-15,2.307653e-39,3.853893e-84,1.000000e+00
3.700000e-15,4.097116e-39,9.541124e-84,1.000000e+00
4.150000e-15,7.089123e-39,2.460781e-83,1.000000e+00
4.600000e-15,1.124880e-38,5.171718e-83,1.000000e+00
5.050000e-15,1.734353e-38,1.111111e-82,1.000000e+00
5.500000e-15,2.574800e-38,2.220223e-82,1.000000e+00
5.950000e-15,3.737894e-38,4.376435e-82,1.000000e+00
6.400000e-15,5.293913e-38,8.216574e-82,1.000000e+00
6.850000e-15,7.354512e-38,1.510160e-81,1.000000e+00
7.300000e-15,1.009892e-37,3.500065e-81,1.000000e+00
7.750000e-15,1.373492e-37,7.976157e-81,1.000000e+00
8.200000e-15,1.830697e-37,1.463696e-80,1.000000e+00
8.650000e-15,2.391332e-37,2.367038e-80,1.000000e+00
9.100000e-15,3.065220e-37,3.526436e-80,1.000000e+00
9.550000e-15,3.895226e-37,5.551912e-80,1.000000e+00
1.000000e-14,4.925727e-37,9.080607e-80,1.000000e+00
1.450000e-14,3.091565e-36,2.576407e-78,1.000000e+00
1.900000e-14,1.180083e-35,3.662800e-77,1.000000e+00
2.350000e-14,3.453667e-35,4.111369e-76,1.000000e+00
2.800000e-14,8.567468e-35,3.235728e-75,1.000000e+00
3.250000e-14,1.790501e-34,1.235873e-74,1.000001e+00
3.700000e-14,3.402027e-34,3.939517e-74,1.000001e+00
4.150000e-14,5.928918e-34,1.002618e-73,1.000001e+00
4.600000e-14,9.784688e-34,2.422713e-73,1.000001e+00
5.050000e-14,1.545812e-33,5.605660e-73,1.000001e+00
5.500000e-14,2.354010e-33,1.251479e-72,1.000001e+00
5.950000e-14,3.473533e-33,2.676995e-72,1.000001e+00
6.400000e-14,4.983882e-33,5.439780e-72,1.000001e+00
6.850000e-14,6.977225e-33,1.043474e-71,1.000001e+00
7.300000e-14,9.563745e-33,1.942727e-71,1.000001e+00
7.750000e-14,1.286331e-32,3.465071e-71,1.000001e+00
8.200000e-14,1.701687e-32,6.008472e-71,1.000001e+00
8.650000e-14,2.217951e-32,1.013556e-70,1.000001e+00
9.100000e-14,2.852458e-32,1.665417e-70,1.000001e+00
9.550000e-14,3.624660e-32,2.716733e-70,1.000002e+00
1.000000e-13,4.555360e-32,4.305373e-70,1.000002e+00
1.450000e-13,2.876464e-31,1.745866e-68,1.000002e+00
1.900000e-13,1.095612e-30,2.580010e-67,1.000003e+00
2.350000e-13,3.126702e-30,2.124137e-66,1.000004e+00
2.800000e-13,7.403801e-30,1.206096e-65,1.000004e+00
3.250000e-13,1.538140e-29,5.231782e-65,1.000005e+00
3.700000e-13,2.901045e-29,1.881671e-64,1.000006e+00
4.150000e-13,5.079232e-29,5.865315e-64,1.000006e+00
4.600000e-13,8.382789e-29,1.632270e-63,1.000007e+00
5.050000e-13,1.318634e-28,4.121764e-63,1.000007e+00
5.500000e-13,1.993309e-28,9.587984e-63,1.000008e+00
5.950000e-13,2.913840e-28,2.083459e-62,1.000009e+00
6.400000e-13,4.139282e-28,4.275450e-62,1.000009e+00
6.850000e-13,5.736491e-28,8.353043e-62,1.000010e+00
7.300000e-13,7.780357e-28,1.563514e-61,1.000010e+00
7.750000e-13,1.035402e-27,2.818125e-61,1.000011e+00
8.200000e-13,1.354903e-27,4.911942e-61,1.000011e+00
8.650000e-13,1.746550e-27,8.308544e-61,1.000012e+00
9.100000e-13,2.221222e-27,1.368004e-60,1.000012e+00
9.550000e-13,2.790675e-27,2.198187e-60,1.000012e+00
1.000000e-12,3.467549e-27,3.454828e-60,1.000013e+00
1.450000e-12,1.956119e-26,1.309878e-58,1.000017e+00
1.900000e-12,6.683778e-26,1.808974e-57,1.000020e+00
2.350000e-12,1.719323e-25,1.405556e-56,1.000022e+00
2.800000e-12,3.685855e-25,7.531628e-56,1.000024e+00
3.250000e-12,6.962483e-25,3.112428e-55,1.000025e+00
3.700000e-12,1.198757e-24,1.061766e-54,1.000026e+00
4.150000e-12,1.923197e-24,3.126057e-54,1.000027e+00
4.600000e-12,2.918991e-24,8.190826e-54,1.000027e+00
5.050000e-12,4.237185e-24,1.952526e-53,1.000028e+00
5.500000e-12,5.929925e-24,4.304436e-53,1.000028e+00
5.950000e-12,8.050061e-24,8.886109e-53,1.000029e+00
6.400000e-12,1.065088e-23,1.734665e-52,1.000029e+00
6.850000e-12,1.378590e-23,3.226951e-52,1.000029e+00
7.300000e-12,1.750877e-23,5.756519e-52,1.000029e+00
7.750000e-12,2.187315e-23,9.897941e-52,1.000029e+00
8.200000e-12,2.693268e-23,1.647380e-51,1.000029e+00
8.650000e-12,3.274095e-23,2.663510e-51,1.000029e+00
9.100000e-12,3.935150e-23,4.196013e-51,1.000029e+00
9.550000e-12,4.681778e-23,6.457427e-51,1.000029e+00
1.000000e-11,5.519318e-23,9.729368e-51,1.000029e+00
1.450000e-11,2.006615e-22,2.535809e-49,1.000030e+00
1.900000e-11,4.955470e-22,2.580177e-48,1.000030e+00
2.350000e-11,9.930726e-22,1.553678e-47,1.000030e+00
2.800000e-11,1.746659e-21,6.701349e-47,1.000030e+00
3.250000e-11,2.809954e-21,2.295302e-46,1.000030e+00
3.700000e-11,4.236841e-21,6.641635e-46,1.000030e+00
4.150000e-11,6.081433e-21,1.689889e-45,1.000030e+00
4.600000e-11,8.398077e-21,3.885368e-45,1.000030e+00
5.050000e-11,1.124135e-20,8.231793e-45,1.000030e+00
5.500000e-11,1.466607e-20,1.630289e-44,1.000030e+00
5.950000e-11,1.872728e-20,3.051141e-44,1.000030e+00
6.400000e-11,2.348025e-20,5.442667e-44,1.000030e+00
6.850000e-11,2.898050e-20,9.316169e-44,1.000030e+00
7.300000e-11,3.528376e-20,1.538332e-43,1.000030e+00
7.750000e-11,4.244602e-20,2.461209e-43,1.000030e+00
8.200000e-11,5.052346e-20,3.831610e-43,1.000030e+00
8.650000e-11,5.957254e-20,5.821494e-43,1.000030e+00
9.100000e-11,6.964991e-20,8.652366e-43,1.000030e+00
9.550000e-11,8.081249e-20,1.260018e-42,1.000030e+00
1.000000e-10,9.311740e-20,1.801653e-42,1.000030e+00
1.450000e-10,2.917292e-19,3.213815e-41,1.000030e+00
1.900000e-10,6.691353e-19,2.463014e-40,1.000030e+00
2.350000e-10,1.286273e-18,1.207595e-39,1.000030e+00
2.800000e-10,2.206374e-18,4.362844e-39,1.000030e+00
3.250000e-10,3.494952e-18,1.283960e-38,1.000030e+00
3.700000e-10,5.219789e-18,3.274886e-38,1.000030e+00
4.150000e-10,7.450927e-18,7.507236e-38,1.000030e+00
4.600000e-10,1.026065e-17,1.576285e-37,1.000030e+00
5.050000e-10,1.372347e-17,3.087790e-37,1.000030e+00
5.500000e-10,1.791613e-17,5.682912e-37,1.000030e+00
5.950000e-10,2.291755e-17,9.954951e-37,1.000030e+00
6.400000e-10,2.880886e-17,1.669384e-36,1.000030e+00
6.850000e-10,3.567336e-17,2.699245e-36,1.000030e+00
7.300000e-10,4.359649e-17,4.228489e-36,1.000030e+00
7.750000e-10,5.266584e-17,6.442560e-36,1.000030e+00
8.200000e-10,6.297114e-17,9.583383e-36,1.000030e+00
8.650000e-10,7.460419e-17,1.394276e-35,1.000030e+00
9.100000e-10,8.765892e-17,1.991698e-35,1.000030e+00
9.550000e-10,1.022313e-16,2.800323e-35,1.000030e+00
1.000000e-09,1.184193e-16,3.872478e-35,1.000030e+00
1.450000e-09,3.921677e-16,5.019779e-34,1.000030e+00
1.900000e-09,9.499046e-16,3.156913e-33,1.000030e+00
2.350000e-09,1.920728e-15,1.317670e-32,1.000030e+00
2.800000e-09,3.450228e-15,4.220961e-32,1.000030e+00
3.250000e-09,5.698668e-15,1.124104e-31,1.000030e+00
3.700000e-09,8.839280e-15,2.612726e-31,1.000030e+00
4.150000e-09,1.305669e-14,5.470744e-31,1.000030e+00
4.600000e-09,1.854549e-14,1.054747e-30,1.000030e+00
5.050000e-09,2.550895e-14,1.901989e-30,1.000030e+00
5.500000e-09,3.415792e-14,3.245466e-30,1.000030e+00
5.950000e-09,4.470978e-14,5.286964e-30,1.000030e+00
6.400000e-09,5.738758e-14,8.279391e-30,1.000030e+00
6.850000e-09,7.241929e-14,1.253254e-29,1.000030e+00
7.300000e-09,9.003709e-14,1.841851e-29,1.000030e+00
7.750000e-09,1.104768e-13,2.637688e-29,1.000030e+00
8.200000e-09,1.339772e-13,3.691932e-29,1.000030e+00
8.650000e-09,1.607801e-13,5.063397e-29,1.000030e+00
9.100000e-09,1.911290e-13,6.818936e-29,1.000030e+00
9.550000e-09,2.252698e-13,9.033780e-29,1.000030e+00
1.000000e-08,2.634498e-13,1.179186e-28,1.000030e+00
1.450000e-08,9.224232e-13,9.436047e-28,1.000031e+00
1.900000e-08,2.260640e-12,3.942534e-27,1.000031e+00
2.350000e-08,4.522755e-12,1.153317e-26,1.000031e+00
2.800000e-08,7.938975e-12,2.700034e-26,1.000032e+00
3.250000e-08,1.271969e-11,5.433862e-26,1.000032e+00
3.700000e-08,1.905284e-11,9.808976e-26,1.000033e+00
4.150000e-08,2.710337e-11,1.631992e-25,1.000033e+00
4.600000e-08,3.701388e-11,2.548995e-25,1.000033e+00
5.050000e-08,4.890627e-11,3.786206e-25,1.000034e+00
5.500000e-08,6.288370e-11,5.399227e-25,1.000034e+00
5.950000e-08,7.903277e-11,7.444483e-25,1.000034e+00
6.400000e-08,9.742566e-11,9.978885e-25,1.000035e+00
6.850000e-08,1.181222e-10,1.305960e-24,1.000035e+00
7.300000e-08,1.411718e-10,1.674390e-24,1.000035e+00
7.750000e-08,1.666148e-10,2.108907e-24,1.000036e+00
8.200000e-08,1.944845e-10,2.615235e-24,1.000036e+00
8.650000e-08,2.248077e-10,3.199090e-24,1.000037e+00
9.100000e-08,2.576066e-10,3.866180e-24,1.000037e+00
9.550000e-08,2.928987e-10,4.622204e-24,1.000037e+00
1.000000e-07,3.306985e-10,5.472852e-24,1.000038e+00
1.450000e-07,8.483227e-10,2.043141e-23,1.000041e+00
1.900000e-07,1.621756e-09,5.108262e-23,1.000045e+00
2.350000e-07,2.651530e-09,1.030882e-22,1.000048e+00
2.800000e-07,3.937546e-09,1.821237e-22,1.000052e+00
3.250000e-07,5.479636e-09,2.938813e-22,1.000056e+00
3.700000e-07,7.277622e-09,4.440698e-22,1.000059e+00
4.150000e-07,9.331326e-09,6.384152e-22,1.000063e+00
4.600000e-07,1.164057e-08,8.826626e-22,1.000066e+00
5.050000e-07,1.420517e-08,1.182573e-21,1.000070e+00
5.500000e-07,1.702495e-08,1.543922e-21,1.000074e+00
5.950000e-07,2.009973e-08,1.972505e-21,1.000077e+00
6.400000e-07,2.342932e-08,2.474127e-21,1.000081e+00
6.850000e-07,2.701355e-08,3.054615e-21,1.000084e+00
7.300000e-07,3.085224e-08,3.719818e-21,1.000088e+00
7.750000e-07,3.494519e-08,4.475593e-21,1.000091e+00
8.200000e-07,3.929224e-08,5.327820e-21,1.000095e+00
8.650000e-07,4.389320e-08,6.282408e-21,1.000099e+00
9.100000e-07,4.874787e-08,7.345244e-21,1.000102e+00
9.550000e-07,5.385609e-08,8.522283e-21,1.000106e+00
1.000000e-06,5.921767e-08,9.819448e-21,1.000109e+00
1.450000e-06,1.267274e-07,3.071865e-20,1.000145e+00
1.900000e-06,2.193682e-07,7.029851e-20,1.000180e+00
2.350000e-06,3.369509e-07,1.347864e-19,1.000215e+00
2.800000e-06,4.792832e-07,2.305808e-19,1.000250e+00
3.250000e-06,6.461701e-07,3.642515e-19,1.000285e+00
3.700000e-06,8.374141e-07,5.425405e-19,1.000319e+00
4.150000e-06,1.052815e-06,7.723622e-19,1.000353e+00
4.600000e-06,1.292171e-06,1.060804e-18,1.000387e+00
5.050000e-06,1.555277e-06,1.415126e-18,1.000421e+00
5.500000e-06,1.841928e-06,1.842763e-18,1.000454e+00
5.950000e-06,2.151916e-06,2.351323e-18,1.000488e+00
6.400000e-06,2.485032e-06,2.948588e-18,1.000521e+00
6.850000e-06,2.841064e-06,3.642516e-18,1.000554e+00
7.300000e-06,3.219802e-06,4.441238e-18,1.000587e+00
7.750000e-06,3.621034e-06,5.353063e-18,1.000619e+00
8.200000e-06,4.044544e-06,6.386473e-18,1.000651e+00
8.650000e-06,4.490120e-06,7.550127e-18,1.000684e+00
9.100000e-06,4.957546e-06,8.852858e-18,1.000716e+00
9.550000e-06,5.446607e-06,1.030368e-17,1.000747e+00
1.000000e-05,5.957088e-06,1.191177e-17,1.000779e+00
1.450000e-05,1.219256e-05,3.879044e-17,1.001085e+00
1.900000e-05,2.033457e-05,9.281671e-17,1.001375e+00
2.350000e-05,3.017695e-05,1.861028e-16,1.001650e+00
2.800000e-05,4.152661e-05,3.325355e-16,1.001912e+00
3.250000e-05,5.420629e-05,5.477710e-16,1.002161e+00
3.700000e-05,6.805555e-05,8.492260e-16,1.002400e+00
4.150000e-05,8.293059e-05,1.256069e-15,1.002628e+00
4.600000e-05,9.870336e-05,1.789208e-15,1.002848e+00
5.050000e-05,1.152604e-04,2.471287e-15,1.003059e+00
5.500000e-05,1.325014e-04,3.326670e-15,1.003263e+00
5.950000e-05,1.503380e-04,4.381443e-15,1.003459e+00
6.400000e-05,1.686921e-04,5.663403e-15,1.003649e+00
6.850000e-05,1.874951e-04,7.202057e-15,1.003833e+00
7.300000e-05,2.066865e-04,9.028619e-15,1.004012e+00
7.750000e-05,2.262128e-04,1.117601e-14,1.004185e+00
8.200000e-05,2.460270e-04,1.367885e-14,1.004354e+00
8.650000e-05,2.660874e-04,1.657349e-14,1.004518e+00
9.100000e-05,2.863572e-04,1.989797e-14,1.004677e+00
9.550000e-05,3.068039e-04,2.369204e-14,1.004833e+00
1.000000e-04,3.273985e-04,2.799719e-14,1.004985e+00
1.450000e-04,5.370264e-04,1.095237e-13,1.006337e+00
1.900000e-04,7.453171e-04,3.008059e-13,1.007470e+00
2.350000e-04,9.471477e-04,6.728984e-13,1.008456e+00
2.800000e-04,1.140985e-03,1.316054e-12,1.009335e+00
3.250000e-04,1.326605e-03,2.340878e-12,1.010132e+00
3.700000e-04,1.504285e-03,3.879525e-12,1.010864e+00
4.150000e-04,1.674484e-03,6.086919e-12,1.011543e+00
4.600000e-04,1.837755e-03,9.142023e-12,1.012176e+00
5.050000e-04,1.994656e-03,1.324968e-11,1.012771e+00
5.500000e-04,2.145565e-03,1.864081e-11,1.013333e+00
5.950000e-04,2.290920e-03,2.557367e-11,1.013866e+00
6.400000e-04,2.431119e-03,3.433526e-11,1.014374e+00
6.850000e-04,2.566522e-03,4.524248e-11,1.014858e+00
7.300000e-04,2.697455e-03,5.864328e-11,1.015322e+00
7.750000e-04,2.824213e-03,7.491782e-11,1.015767e+00
8.200000e-04,2.947064e-03,9.447963e-11,1.016195e+00
8.650000e-04,3.066249e-03,1.177767e-10,1.016608e+00
9.100000e-04,3.181990e-03,1.452926e-10,1.017006e+00
9.550000e-04,3.294488e-03,1.775477e-10,1.017391e+00
1.000000e-03,3.403925e-03,2.151002e-10,1.017763e+00
1.450000e-03,4.361205e-03,1.034001e-09,1.020963e+00
1.900000e-03,5.136553e-03,3.318859e-09,1.023505e+00
2.350000e-03,5.789151e-03,8.417370e-09,1.025625e+00
2.800000e-03,6.352937e-03,1.827994e-08,1.027451e+00
3.250000e-03,6.849304e-03,3.555236e-08,1.029055e+00
3.700000e-03,7.292657e-03,6.366339e-08,1.030488e+00
4.150000e-03,7.693187e-03,1.069076e-07,1.031784e+00
4.600000e-03,8.058374e-03,1.705240e-07,1.032966e+00
5.050000e-03,8.393884e-03,2.607710e-07,1.034054e+00
5.500000e-03,8.704110e-03,3.849976e-07,1.035060e+00
5.950000e-03,8.992530e-03,5.517110e-07,1.035998e+00
6.400000e-03,9.261949e-03,7.706419e-07,1.036875e+00
6.850000e-03,9.514657e-03,1.052806e-06,1.037698e+00
7.300000e-03,9.752554e-03,1.410561e-06,1.038474e+00
7.750000e-03,9.977232e-03,1.857667e-06,1.039208e+00
8.200000e-03,1.019004e-02,2.409335e-06,1.039904e+00
8.650000e-03,1.039212e-02,3.082279e-06,1.040566e+00
9.100000e-03,1.058446e-02,3.894764e-06,1.041196e+00
9.550000e-03,1.076793e-02,4.866649e-06,1.041797e+00
1.000000e-02,1.094328e-02,6.019430e-06,1.042372e+00
1.450000e-02,1.236382e-02,3.346117e-05,1.047020e+00
1.900000e-02,1.339295e-02,1.157399e-04,1.050295e+00
2.350000e-02,1.419143e-02,3.028921e-04,1.052610e+00
2.800000e-02,1.483801e-02,6.555278e-04,1.054101e+00
3.250000e-02,1.537809e-02,1.229610e-03,1.054805e+00
3.700000e-02,1.584125e-02,2.057001e-03,1.054757e+00
4.150000e-02,1.624874e-02,3.133550e-03,1.054033e+00
4.600000e-02,1.661654e-02,4.423452e-03,1.052757e+00
5.050000e-02,1.695666e-02,5.875438e-03,1.051069e+00
