t(s),H2,N2,NH3
1.000000e-15,1.004492e-40,3.241590e-87,1.000000e+00
1.450000e-15,6.438414e-40,1.674428e-86,1.000000e+00
1.900000e-15,1.729243e-39,6.153612e-86,1.000000e+00
2.350000e-15,4.671052e-39,2.769909e-85,1.000000e+00
2.800000e-15,9.639475e-39,7.850582e-85,1.000000e+00
3.250000e-15,1.949552e-38,2.342942e-84,1.000000e+00
3.700000e-15,3.461326e-38,5.800446e-84,1.000000e+00
4.150000e-15,5.989034e-38,1.496011e-83,1.000000e+00
4.600000e-15,9.503215e-38,3.144102e-83,1.000000e+00
5.050000e-15,1.465216e-37,6.754903e-83,1.000000e+00
5.500000e-15,2.175243e-37,1.349766e-82,1.000000e+00
5.950000e-15,3.157848e-37,2.660617e-82,1.000000e+00
6.400000e-15,4.472404e-37,4.995196e-82,1.000000e+00
6.850000e-15,6.213239e-37,9.180892e-82,1.000000e+00
7.300000e-15,8.531774e-37,2.127835e-81,1.000000e+00
7.750000e-15,1.160354e-36,4.849037e-81,1.000000e+00
8.200000e-15,1.546610e-36,8.898413e-81,1.000000e+00
8.650000e-15,2.020245e-36,1.439021e-80,1.000000e+00
9.100000e-15,2.589560e-36,2.143867e-80,1.000000e+00
9.550000e-15,3.290765e-36,3.375237e-80,1.000000e+00
1.000000e-14,4.161353e-36,5.520478e-80,1.000000e+00
1.450000e-14,2.611816e-35,1.566305e-78,1.000000e+00
1.900000e-14,9.969576e-35,2.226768e-77,1.000000e+00
2.350000e-14,2.917726e-34,2.499472e-76,1.000000e+00
2.800000e-14,7.237966e-34,1.967133e-75,1.000000e+00
3.250000e-14,1.512651e-33,7.513379e-75,1.000000e+00
3.700000e-14,2.874099e-33,2.394995e-74,1.000000e+00
4.150000e-14,5.008866e-33,6.095326e-74,1.000000e+00
4.600000e-14,8.266295e-33,1.472867e-73,1.000000e+00
5.050000e-14,1.305932e-32,3.407911e-73,1.000000e+00
5.500000e-14,1.988714e-32,7.608256e-73,1.000000e+00
5.950000e-14,2.934507e-32,1.627455e-72,1.000000e+00
6.400000e-14,4.210479e-32,3.307065e-72,1.000000e+00
6.850000e-14,5.894494e-32,6.343708e-72,1.000000e+00
7.300000e-14,8.079635e-32,1.181063e-71,1.000000e+00
7.750000e-14,1.086717e-31,2.106558e-71,1.000000e+00
8.200000e-14,1.437617e-31,3.652795e-71,1.000000e+00
8.650000e-14,1.873767e-31,6.161818e-71,1.000000e+00
9.100000e-14,2.409810e-31,1.012475e-70,1.000000e+00
9.550000e-14,3.062180e-31,1.651613e-70,1.000000e+00
1.000000e-13,3.848454e-31,2.617411e-70,1.000000e+00
1.450000e-13,2.430089e-30,1.061382e-68,1.000000e+00
1.900000e-13,9.255919e-30,1.568491e-67,1.000000e+00
2.350000e-13,2.641491e-29,1.291346e-66,1.000000e+00
2.800000e-13,6.254853e-29,7.332328e-66,1.000000e+00
3.250000e-13,1.299445e-28,3.180602e-65,1.000000e+00
3.700000e-13,2.450847e-28,1.143939e-64,1.000000e+00
4.150000e-13,4.291011e-28,3.565747e-64,1.000000e+00
4.600000e-13,7.081901e-28,9.923180e-64,1.000000e+00
5.050000e-13,1.114000e-27,2.505773e-63,1.000000e+00
5.500000e-13,1.683974e-27,5.828888e-63,1.000000e+00
5.950000e-13,2.461649e-27,1.266610e-62,1.000000e+00
