t(s),H2,N2,NH3
1.000000e-15,2.736414e-32,2.334078e-78,-2.167333e-01
1.450000e-15,2.736414e-32,2.334078e-78,-2.167333e-01
1.900000e-15,1.328881e-31,9.770905e-78,-2.166246e-01
2.350000e-15,1.328881e-31,9.770905e-78,-2.166246e-01
2.800000e-15,4.112673e-31,2.927959e-77,-2.165161e-01
3.250000e-15,4.112673e-31,2.927959e-77,-2.165161e-01
3.700000e-15,9.912181e-31,1.810360e-76,-2.164075e-01
4.150000e-15,9.912181e-31,1.810360e-76,-2.164075e-01
4.600000e-15,2.029770e-30,1.622766e-75,-2.162996e-01
5.050000e-15,2.029770e-30,1.622766e-75,-2.162996e-01
5.500000e-15,3.726678e-30,4.842237e-75,-2.161918e-01
5.950000e-15,3.726678e-30,4.842237e-75,-2.161918e-01
6.400000e-15,6.314029e-30,1.499924e-74,-2.160841e-01
6.850000e-15,6.314029e-30,1.499924e-74,-2.160841e-01
7.300000e-15,1.927774e-29,2.392227e-73,-2.158034e-01
7.750000e-15,1.927774e-29,2.392227e-73,-2.158034e-01
8.200000e-15,1.927774e-29,2.392227e-73,-2.158034e-01
8.650000e-15,1.927774e-29,2.392227e-73,-2.158034e-01
9.100000e-15,1.927774e-29,2.392227e-73,-2.158034e-01
9.550000e-15,4.607642e-29,8.896765e-73,-2.155231e-01
1.000000e-14,4.607642e-29,8.896765e-73,-2.155231e-01
1.450000e-14,1.726175e-28,2.103840e-71,-2.149636e-01
1.900000e-14,7.037843e-28,4.302506e-70,-2.141278e-01
2.350000e-14,2.235869e-27,1.029392e-68,-2.131851e-01
2.800000e-14,2.235869e-27,1.029392e-68,-2.131851e-01
3.250000e-14,5.469233e-27,7.365423e-68,-2.122466e-01
3.700000e-14,5.469233e-27,7.365423e-68,-2.122466e-01
4.150000e-14,8.814013e-27,2.024041e-67,-2.116546e-01
4.600000e-14,1.349422e-26,4.518470e-67,-2.110642e-01
5.050000e-14,1.982260e-26,1.067926e-66,-2.104755e-01
5.500000e-14,3.357930e-26,3.750745e-66,-2.095730e-01
5.950000e-14,3.357930e-26,3.750745e-66,-2.095730e-01
6.400000e-14,5.346002e-26,9.631258e-66,-2.086743e-01
6.850000e-14,8.103833e-26,2.522614e-65,-2.077796e-01
7.300000e-14,8.103833e-26,2.522614e-65,-2.077796e-01
7.750000e-14,1.180591e-25,6.000838e-65,-2.068886e-01
8.200000e-14,1.180591e-25,6.000838e-65,-2.068886e-01
8.650000e-14,1.664360e-25,1.313341e-64,-2.060015e-01
9.100000e-14,2.692624e-25,3.832298e-64,-2.046285e-01
9.550000e-14,2.692624e-25,3.832298e-64,-2.046285e-01
1.000000e-13,2.692624e-25,3.832298e-64,-2.046285e-01
1.450000e-13,1.405421e-24,1.624973e-62,-1.985073e-01
1.900000e-13,3.193915e-24,1.060765e-61,-1.944566e-01
2.350000e-13,7.328588e-24,7.350725e-61,-1.894966e-01
2.800000e-13,1.641191e-23,4.526827e-60,-1.837012e-01
3.250000e-13,3.189654e-23,2.117053e-59,-1.780829e-01
3.700000e-13,4.274867e-23,4.164961e-59,-1.753384e-01
4.150000e-13,8.449943e-23,2.010974e-58,-1.682555e-01
4.600000e-13,1.221916e-22,4.779784e-58,-1.639858e-01
5.050000e-13,1.708263e-22,1.032702e-57,-1.598243e-01
5.500000e-13,2.321514e-22,2.123588e-57,-1.557684e-01
5.950000e-13,3.079888e-22,4.131132e-57,-1.518152e-01
6.400000e-13,4.002248e-22,7.659486e-57,-1.479622e-01
6.850000e-13,5.108017e-22,1.362828e-56,-1.442069e-01
7.300000e-13,6.417097e-22,2.339555e-56,-1.405469e-01
7.750000e-13,7.949795e-22,3.891331e-56,-1.369796e-01
8.200000e-13,9.726754e-22,6.292571e-56,-1.335027e-01
8.650000e-13,1.176889e-21,9.921733e-56,-1.301141e-01
9.100000e-13,1.409732e-21,1.529180e-55,-1.268113e-01
9.550000e-13,1.673333e-21,2.308717e-55,-1.235924e-01
1.000000e-12,1.969831e-21,3.420796e-55,-1.204550e-01
1.450000e-12,7.213860e-21,8.185985e-54,-9.314169e-02
1.900000e-12,1.803893e-20,8.203550e-53,-7.201833e-02
2.350000e-12,3.629360e-20,4.983302e-52,-5.568348e-02
2.800000e-12,6.522192e-20,2.349029e-51,-4.246667e-02
3.250000e-12,9.901872e-20,7.264826e-51,-3.365494e-02
3.700000e-12,1.498440e-19,2.278903e-50,-2.565722e-02
4.150000e-12,2.136612e-19,6.188740e-50,-1.955984e-02
4.600000e-12,2.791093e-19,1.330636e-49,-1.550077e-02
5.050000e-12,3.683266e-19,2.982699e-49,-1.181693e-02
5.500000e-12,4.716211e-19,6.193142e-49,-9.008567e-03
5.950000e-12,5.714778e-19,1.100691e-48,-7.139101e-03
6.400000e-12,7.012587e-19,2.046325e-48,-5.442503e-03
6.850000e-12,8.461201e-19,3.638898e-48,-4.143674e-03
7.300000e-12,9.819416e-19,5.769078e-48,-3.279535e-03
7.750000e-12,1.166721e-18,9.886045e-48,-2.448249e-03
8.200000e-12,1.326538e-18,1.481253e-47,-1.937764e-03
8.650000e-12,1.497002e-18,2.173192e-47,-1.533764e-03
9.100000e-12,1.725037e-18,3.417029e-47,-1.145126e-03
9.550000e-12,1.919414e-18,4.814641e-47,-9.064679e-04
