t(s),Temperature(K),Pressure(Pa),Density(kg/m3),U(J/kg)
1.000000e-15,9.500000e+02,1.013250e+05,2.184680e-01,-5.321786e+05
1.450000e-15,9.500000e+02,1.013250e+05,2.184680e-01,-5.321786e+05
1.900000e-15,9.500000e+02,1.013250e+05,2.184680e-01,-5.321786e+05
2.350000e-15,9.500000e+02,1.013250e+05,2.184680e-01,-5.321786e+05
2.800000e-15,9.500000e+02,1.013250e+05,2.184680e-01,-5.321786e+05
3.250000e-15,9.500000e+02,1.013250e+05,2.184679e-01,-5.321786e+05
3.700000e-15,9.500000e+02,1.013250e+05,2.184679e-01,-5.321786e+05
4.150000e-15,9.500000e+02,1.013250e+05,2.184679e-01,-5.321786e+05
4.600000e-15,9.500000e+02,1.013250e+05,2.184679e-01,-5.321786e+05
5.050000e-15,9.500000e+02,1.013250e+05,2.184679e-01,-5.321787e+05
5.500000e-15,9.500000e+02,1.013250e+05,2.184679e-01,-5.321787e+05
5.950000e-15,9.500000e+02,1.013250e+05,2.184679e-01,-5.321787e+05
6.400000e-15,9.500000e+02,1.013250e+05,2.184679e-01,-5.321787e+05
6.850000e-15,9.500000e+02,1.013250e+05,2.184679e-01,-5.321787e+05
7.300000e-15,9.500000e+02,1.013250e+05,2.184679e-01,-5.321787e+05
7.750000e-15,9.500000e+02,1.013250e+05,2.184679e-01,-5.321787e+05
8.200000e-15,9.500000e+02,1.013250e+05,2.184679e-01,-5.321787e+05
8.650000e-15,9.500000e+02,1.013250e+05,2.184679e-01,-5.321787e+05
9.100000e-15,9.500000e+02,1.013250e+05,2.184679e-01,-5.321787e+05
9.550000e-15,9.500000e+02,1.013250e+05,2.184679e-01,-5.321787e+05
1.000000e-14,9.500000e+02,1.013250e+05,2.184679e-01,-5.321787e+05
1.450000e-14,9.500000e+02,1.013250e+05,2.184679e-01,-5.321787e+05
1.900000e-14,9.500000e+02,1.013250e+05,2.184678e-01,-5.321788e+05
2.350000e-14,9.500000e+02,1.013250e+05,2.184678e-01,-5.321788e+05
2.800000e-14,9.500000e+02,1.013250e+05,2.184678e-01,-5.321789e+05
3.250000e-14,9.500000e+02,1.013249e+05,2.184677e-01,-5.321789e+05
3.700000e-14,9.500000e+02,1.013249e+05,2.184677e-01,-5.321789e+05
4.150000e-14,9.500000e+02,1.013249e+05,2.184677e-01,-5.321790e+05
4.600000e-14,9.500000e+02,1.013249e+05,2.184676e-01,-5.321790e+05
5.050000e-14,9.500000e+02,1.013249e+05,2.184676e-01,-5.321791e+05
5.500000e-14,9.500000e+02,1.013249e+05,2.184676e-01,-5.321791e+05
5.950000e-14,9.500000e+02,1.013249e+05,2.184675e-01,-5.321791e+05
6.400000e-14,9.500000e+02,1.013249e+05,2.184675e-01,-5.321792e+05
6.850000e-14,9.500000e+02,1.013249e+05,2.184675e-01,-5.321792e+05
7.300000e-14,9.500000e+02,1.013249e+05,2.184674e-01,-5.321792e+05
7.750000e-14,9.500000e+02,1.013249e+05,2.184674e-01,-5.321793e+05
8.200000e-14,9.500000e+02,1.013249e+05,2.184674e-01,-5.321793e+05
8.650000e-14,9.500000e+02,1.013249e+05,2.184673e-01,-5.321794e+05
9.100000e-14,9.500000e+02,1.013248e+05,2.184673e-01,-5.321794e+05
9.550000e-14,9.500000e+02,1.013248e+05,2.184673e-01,-5.321794e+05
1.000000e-13,9.500000e+02,1.013248e+05,2.184673e-01,-5.321795e+05
1.450000e-13,9.500000e+02,1.013248e+05,2.184669e-01,-5.321799e+05
1.900000e-13,9.500000e+02,1.013247e+05,2.184666e-01,-5.321802e+05
2.350000e-13,9.500000e+02,1.013246e+05,2.184663e-01,-5.321806e+05
2.800000e-13,9.500000e+02,1.013246e+05,2.184661e-01,-5.321809e+05
3.250000e-13,9.500000e+02,1.013245e+05,2.184658e-01,-5.321813e+05
3.700000e-13,9.500000e+02,1.013244e+05,2.184655e-01,-5.321816e+05
4.150000e-13,9.500000e+02,1.013244e+05,2.184652e-01,-5.321819e+05
4.600000e-13,9.500000e+02,1.013243e+05,2.184650e-01,-5.321822e+05
5.050000e-13,9.500000e+02,1.013242e+05,2.184647e-01,-5.321826e+05
5.500000e-13,9.500000e+02,1.013242e+05,2.184645e-01,-5.321829e+05
5.950000e-13,9.500000e+02,1.013241e+05,2.184642e-01,-5.321831e+05
6.400000e-13,9.500000e+02,1.013241e+05,2.184640e-01,-5.321834e+05
6.850000e-13,9.500000e+02,1.013240e+05,2.184638e-01,-5.321837e+05
7.300000e-13,9.500000e+02,1.013240e+05,2.184636e-01,-5.321840e+05
7.750000e-13,9.500000e+02,1.013239e+05,2.184633e-01,-5.321842e+05
8.200000e-13,9.500000e+02,1.013239e+05,2.184631e-01,-5.321845e+05
8.650000e-13,9.500000e+02,1.013238e+05,2.184629e-01,-5.321847e+05
9.100000e-13,9.500000e+02,1.013238e+05,2.184627e-01,-5.321850e+05
9.550000e-13,9.500000e+02,1.013237e+05,2.184625e-01,-5.321852e+05
1.000000e-12,9.500000e+02,1.013237e+05,2.184623e-01,-5.321855e+05
1.450000e-12,9.500000e+02,1.013233e+05,2.184607e-01,-5.321875e+05
1.900000e-12,9.500000e+02,1.013230e+05,2.184594e-01,-5.321890e+05
2.350000e-12,9.500000e+02,1.013228e+05,2.184584e-01,-5.321902e+05
2.800000e-12,9.500000e+02,1.013226e+05,2.184577e-01,-5.321912e+05
3.250000e-12,9.500000e+02,1.013225e+05,2.184571e-01,-5.321919e+05
3.700000e-12,9.500000e+02,1.013224e+05,2.184566e-01,-5.321925e+05
4.150000e-12,9.500000e+02,1.013223e+05,2.184562e-01,-5.321929e+05
4.600000e-12,9.500000e+02,1.013222e+05,2.184560e-01,-5.321932e+05
5.050000e-12,9.500000e+02,1.013222e+05,2.184558e-01,-5.321935e+05
5.500000e-12,9.500000e+02,1.013221e+05,2.184556e-01,-5.321937e+05
5.950000e-12,9.500000e+02,1.013221e+05,2.184555e-01,-5.321938e+05
6.400000e-12,9.500000e+02,1.013221e+05,2.184554e-01,-5.321939e+05
6.850000e-12,9.500000e+02,1.013221e+05,2.184553e-01,-5.321940e+05
7.300000e-12,9.500000e+02,1.013220e+05,2.184552e-01,-5.321941e+05
7.750000e-12,9.500000e+02,1.013220e+05,2.184552e-01,-5.321942e+05
8.200000e-12,9.500000e+02,1.013220e+05,2.184552e-01,-5.321942e+05
8.650000e-12,9.500000e+02,1.013220e+05,2.184551e-01,-5.321942e+05
9.100000e-12,9.500000e+02,1.013220e+05,2.184551e-01,-5.321943e+05
9.550000e-12,9.500000e+02,1.013220e+05,2.184551e-01,-5.321943e+05
1.000000e-11,9.500000e+02,1.013220e+05,2.184551e-01,-5.321943e+05
1.450000e-11,9.500000e+02,1.013220e+05,2.184550e-01,-5.321943e+05
1.900000e-11,9.500000e+02,1.013220e+05,2.184550e-01,-5.321944e+05
2.350000e-11,9.500000e+02,1.013220e+05,2.184550e-01,-5.321944e+05
2.800000e-11,9.500000e+02,1.013220e+05,2.184550e-01,-5.321944e+05
3.250000e-11,9.500000e+02,1.013220e+05,2.184550e-01,-5.321944e+05
3.700000e-11,9.500000e+02,1.013220e+05,2.184550e-01,-5.321944e+05
