t(s),RU(S1),N2(S1),N(S1),H(S1),NH3(S1),NH2(S1),NH(S1),N2(S2),N(S2),H(S2),NH3(S2),NH2(S2),NH(S2),RU(S2)
1.000000e-15,9.999999e-01,6.583308e-82,3.162724e-31,9.088069e-17,6.672380e-08,9.088066e-17,1.294908e-23,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
1.450000e-15,9.999999e-01,2.260943e-81,1.469758e-30,1.910506e-16,9.673708e-08,1.910505e-16,4.081617e-23,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
1.900000e-15,9.999999e-01,7.656183e-81,3.479769e-30,3.280071e-16,1.267426e-07,3.280069e-16,8.469538e-23,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
2.350000e-15,9.999998e-01,3.435753e-80,7.588140e-30,5.017308e-16,1.567405e-07,5.017305e-16,1.566294e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
2.800000e-15,9.999998e-01,9.401438e-80,1.375385e-29,7.122241e-16,1.867306e-07,7.122236e-16,2.550422e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
3.250000e-15,9.999998e-01,2.657253e-79,2.379840e-29,9.594664e-16,2.167131e-07,9.594656e-16,3.924512e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
3.700000e-15,9.999998e-01,6.368322e-79,3.772641e-29,1.243460e-15,2.466878e-07,1.243458e-15,5.676956e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
4.150000e-15,9.999997e-01,1.599780e-78,5.787653e-29,1.564183e-15,2.766548e-07,1.564182e-15,7.928646e-22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
4.600000e-15,9.999997e-01,3.350041e-78,8.393281e-29,1.921642e-15,3.066141e-07,1.921640e-15,1.065737e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
5.050000e-15,9.999997e-01,7.269315e-78,1.183010e-28,2.315818e-15,3.365658e-07,2.315815e-15,1.396437e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
5.500000e-15,9.999996e-01,1.435738e-77,1.619763e-28,2.746706e-15,3.665097e-07,2.746702e-15,1.788459e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
5.950000e-15,9.999996e-01,2.727367e-77,2.172756e-28,3.214293e-15,3.964459e-07,3.214289e-15,2.249404e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
6.400000e-15,9.999996e-01,4.926735e-77,2.859040e-28,3.718571e-15,4.263745e-07,3.718565e-15,2.784747e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
6.850000e-15,9.999995e-01,8.708510e-77,3.702298e-28,4.259528e-15,4.562953e-07,4.259521e-15,3.400633e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
7.300000e-15,9.999995e-01,1.700190e-76,4.731284e-28,4.837156e-15,4.862085e-07,4.837148e-15,4.102459e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
7.750000e-15,9.999995e-01,3.330748e-76,5.977947e-28,5.451446e-15,5.161139e-07,5.451436e-15,4.895517e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
8.200000e-15,9.999995e-01,5.696501e-76,7.458420e-28,6.102388e-15,5.460117e-07,6.102377e-15,5.786187e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
8.650000e-15,9.999994e-01,8.868431e-76,9.194043e-28,6.789971e-15,5.759018e-07,6.789958e-15,6.780489e-21,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
