t(s),H2,N2,NH3
1.000000e-15,4.137160e-10,9.443903e-10,1.000000e+00
1.450000e-15,5.998879e-10,1.369356e-09,1.000000e+00
1.900000e-15,7.860594e-10,1.794316e-09,1.000000e+00
2.350000e-15,9.722308e-10,2.219271e-09,1.000000e+00
2.800000e-15,1.158402e-09,2.644219e-09,1.000000e+00
3.250000e-15,1.344573e-09,3.069161e-09,1.000000e+00
3.700000e-15,1.530743e-09,3.494097e-09,1.000000e+00
4.150000e-15,1.716914e-09,3.919028e-09,1.000000e+00
4.600000e-15,1.903084e-09,4.343952e-09,1.000000e+00
5.050000e-15,2.089254e-09,4.768871e-09,1.000000e+00
5.500000e-15,2.275423e-09,5.193783e-09,1.000000e+00
5.950000e-15,2.461593e-09,5.618690e-09,1.000000e+00
6.400000e-15,2.647762e-09,6.043590e-09,1.000000e+00
6.850000e-15,2.833931e-09,6.468485e-09,1.000000e+00
7.300000e-15,3.020099e-09,6.893373e-09,1.000000e+00
7.750000e-15,3.206268e-09,7.318256e-09,1.000000e+00
8.200000e-15,3.392436e-09,7.743133e-09,1.000000e+00
8.650000e-15,3.578604e-09,8.168004e-09,1.000000e+00
9.100000e-15,3.764771e-09,8.592869e-09,1.000000e+00
9.550000e-15,3.950939e-09,9.017728e-09,1.000000e+00
1.000000e-14,4.137106e-09,9.442581e-09,1.000000e+00
1.450000e-14,5.998764e-09,1.369078e-08,1.000000e+00
1.900000e-14,7.860398e-09,1.793839e-08,1.000000e+00
2.350000e-14,9.722007e-09,2.218540e-08,1.000000e+00
2.800000e-14,1.158359e-08,2.643182e-08,1.000000e+00
3.250000e-14,1.344515e-08,3.067764e-08,9.999999e-01
3.700000e-14,1.530668e-08,3.492287e-08,9.999999e-01
4.150000e-14,1.716819e-08,3.916750e-08,9.999999e-01
4.600000e-14,1.902968e-08,4.341154e-08,9.999999e-01
5.050000e-14,2.089114e-08,4.765499e-08,9.999999e-01
5.500000e-14,2.275257e-08,5.189784e-08,9.999999e-01
5.950000e-14,2.461398e-08,5.614009e-08,9.999999e-01
6.400000e-14,2.647537e-08,6.038175e-08,9.999999e-01
6.850000e-14,2.833673e-08,6.462282e-08,9.999999e-01
7.300000e-14,3.019806e-08,6.886329e-08,9.999998e-01
7.750000e-14,3.205937e-08,7.310317e-08,9.999998e-01
8.200000e-14,3.392066e-08,7.734245e-08,9.999998e-01
8.650000e-14,3.578192e-08,8.158114e-08,9.999998e-01
9.100000e-14,3.764315e-08,8.581924e-08,9.999998e-01
9.550000e-14,3.950436e-08,9.005674e-08,9.999998e-01
1.000000e-13,4.136555e-08,9.429365e-08,9.999998e-01
1.450000e-13,5.997603e-08,1.366301e-07,9.999997e-01
1.900000e-13,7.858400e-08,1.789073e-07,9.999995e-01
2.350000e-13,9.718948e-08,2.211253e-07,9.999994e-01
2.800000e-13,1.157925e-07,2.632842e-07,9.999993e-01
3.250000e-13,1.343929e-07,3.053841e-07,9.999992e-01
3.700000e-13,1.529909e-07,3.474250e-07,9.999990e-01
4.150000e-13,1.715864e-07,3.894071e-07,9.999989e-01
4.600000e-13,1.901794e-07,4.313304e-07,9.999988e-01
5.050000e-13,2.087699e-07,4.731950e-07,9.999987e-01
5.500000e-13,2.273579e-07,5.150010e-07,9.999986e-01
5.950000e-13,2.459434e-07,5.567484e-07,9.999984e-01
6.400000e-13,2.645264e-07,5.984375e-07,9.999983e-01
6.850000e-13,2.831069e-07,6.400681e-07,9.999982e-01
7.300000e-13,3.016849e-07,6.816405e-07,9.999981e-01
7.750000e-13,3.202604e-07,7.231547e-07,9.999980e-01
8.200000e-13,3.388335e-07,7.646107e-07,9.999978e-01
8.650000e-13,3.574040e-07,8.060087e-07,9.999977e-01
9.100000e-13,3.759721e-07,8.473488e-07,9.999976e-01
9.550000e-13,3.945376e-07,8.886309e-07,9.999975e-01
1.000000e-12,4.131007e-07,9.298553e-07,9.999974e-01
1.450000e-12,5.985945e-07,1.338938e-06,9.999962e-01
1.900000e-12,7.838399e-07,1.742330e-06,9.999950e-01
2.350000e-12,9.688372e-07,2.140109e-06,9.999938e-01
2.800000e-12,1.153587e-06,2.532355e-06,9.999927e-01
3.250000e-12,1.338090e-06,2.919143e-06,9.999915e-01
3.700000e-12,1.522347e-06,3.300551e-06,9.999904e-01
4.150000e-12,1.706358e-06,3.676652e-06,9.999893e-01
4.600000e-12,1.890123e-06,4.047521e-06,9.999882e-01
5.050000e-12,2.073644e-06,4.413230e-06,9.999871e-01
5.500000e-12,2.256920e-06,4.773852e-06,9.999860e-01
5.950000e-12,2.439952e-06,5.129457e-06,9.999849e-01
6.400000e-12,2.622742e-06,5.480114e-06,9.999838e-01
6.850000e-12,2.805288e-06,5.825893e-06,9.999828e-01
7.300000e-12,2.987592e-06,6.166862e-06,9.999817e-01
7.750000e-12,3.169654e-06,6.503087e-06,9.999807e-01
8.200000e-12,3.351475e-06,6.834634e-06,9.999797e-01
8.650000e-12,3.533055e-06,7.161569e-06,9.999787e-01
9.100000e-12,3.714395e-06,7.483956e-06,9.999777e-01
9.550000e-12,3.895495e-06,7.801857e-06,9.999767e-01
1.000000e-11,4.076356e-06,8.115336e-06,9.999757e-01
1.450000e-11,5.871912e-06,1.102000e-05,9.999663e-01
1.900000e-11,7.644074e-06,1.354496e-05,9.999577e-01
2.350000e-11,9.393317e-06,1.573985e-05,9.999498e-01
2.800000e-11,1.112010e-05,1.764781e-05,9.999425e-01
3.250000e-11,1.282487e-05,1.930636e-05,9.999358e-01
3.700000e-11,1.450807e-05,2.074810e-05,9.999295e-01
4.150000e-11,1.617011e-05,2.200137e-05,9.999237e-01
4.600000e-11,1.781140e-05,2.309080e-05,9.999182e-01
5.050000e-11,1.943235e-05,2.403782e-05,9.999131e-01
5.500000e-11,2.103335e-05,2.486105e-05,9.999083e-01
5.950000e-11,2.261477e-05,2.557665e-05,9.999037e-01
6.400000e-11,2.417699e-05,2.619870e-05,9.998993e-01
6.850000e-11,2.572037e-05,2.673944e-05,9.998951e-01
7.300000e-11,2.724524e-05,2.720948e-05,9.998911e-01
7.750000e-11,2.875197e-05,2.761807e-05,9.998873e-01
8.200000e-11,3.024087e-05,2.797324e-05,9.998836e-01
8.650000e-11,3.171228e-05,2.828198e-05,9.998801e-01
9.100000e-11,3.316651e-05,2.855035e-05,9.998766e-01
9.550000e-11,3.460387e-05,2.878363e-05,9.998733e-01
1.000000e-10,3.602466e-05,2.898641e-05,9.998700e-01
1.450000e-10,4.938258e-05,3.000231e-05,9.998413e-01
