t(s),H2,N2,NH3
1.000000e-15,3.495156e-09,5.741342e-10,1.000000e+00
1.450000e-15,5.067973e-09,8.324887e-10,1.000000e+00
1.900000e-15,6.640788e-09,1.090840e-09,1.000000e+00
2.350000e-15,8.213601e-09,1.349187e-09,1.000000e+00
2.800000e-15,9.786412e-09,1.607531e-09,1.000000e+00
3.250000e-15,1.135922e-08,1.865871e-09,1.000000e+00
3.700000e-15,1.293203e-08,2.124207e-09,1.000000e+00
4.150000e-15,1.450483e-08,2.382540e-09,1.000000e+00
4.600000e-15,1.607763e-08,2.640869e-09,1.000000e+00
5.050000e-15,1.765044e-08,2.899195e-09,1.000000e+00
5.500000e-15,1.922323e-08,3.157517e-09,1.000000e+00
5.950000e-15,2.079603e-08,3.415835e-09,1.000000e+00
6.400000e-15,2.236882e-08,3.674150e-09,1.000000e+00
6.850000e-15,2.394162e-08,3.932461e-09,1.000000e+00
7.300000e-15,2.551441e-08,4.190768e-09,1.000000e+00
7.750000e-15,2.708719e-08,4.449072e-09,1.000000e+00
8.200000e-15,2.865998e-08,4.707373e-09,1.000000e+00
8.650000e-15,3.023276e-08,4.965669e-09,1.000000e+00
9.100000e-15,3.180555e-08,5.223962e-09,1.000000e+00
9.550000e-15,3.337833e-08,5.482252e-09,1.000000e+00
1.000000e-14,3.495110e-08,5.740537e-09,1.000000e+00
1.450000e-14,5.067877e-08,8.323196e-09,9.999999e-01
1.900000e-14,6.640622e-08,1.090549e-08,9.999999e-01
2.350000e-14,8.213346e-08,1.348743e-08,9.999999e-01
2.800000e-14,9.786050e-08,1.606900e-08,9.999999e-01
3.250000e-14,1.135873e-07,1.865021e-08,9.999999e-01
3.700000e-14,1.293139e-07,2.123106e-08,9.999998e-01
4.150000e-14,1.450403e-07,2.381155e-08,9.999998e-01
4.600000e-14,1.607665e-07,2.639168e-08,9.999998e-01
5.050000e-14,1.764925e-07,2.897145e-08,9.999998e-01
5.500000e-14,1.922183e-07,3.155085e-08,9.999998e-01
5.950000e-14,2.079439e-07,3.412989e-08,9.999998e-01
6.400000e-14,2.236692e-07,3.670857e-08,9.999997e-01
6.850000e-14,2.393944e-07,3.928689e-08,9.999997e-01
7.300000e-14,2.551193e-07,4.186485e-08,9.999997e-01
7.750000e-14,2.708440e-07,4.444245e-08,9.999997e-01
8.200000e-14,2.865685e-07,4.701969e-08,9.999997e-01
8.650000e-14,3.022928e-07,4.959656e-08,9.999996e-01
9.100000e-14,3.180169e-07,5.217308e-08,9.999996e-01
9.550000e-14,3.337408e-07,5.474923e-08,9.999996e-01
1.000000e-13,3.494644e-07,5.732502e-08,9.999996e-01
1.450000e-13,5.066894e-07,8.306311e-08,9.999994e-01
1.900000e-13,6.638933e-07,1.087652e-07,9.999992e-01
2.350000e-13,8.210760e-07,1.344312e-07,9.999990e-01
2.800000e-13,9.782376e-07,1.600614e-07,9.999989e-01
3.250000e-13,1.135378e-06,1.856556e-07,9.999987e-01
3.700000e-13,1.292497e-06,2.112140e-07,9.999985e-01
4.150000e-13,1.449596e-06,2.367366e-07,9.999983e-01
4.600000e-13,1.606673e-06,2.622235e-07,9.999981e-01
5.050000e-13,1.763729e-06,2.876747e-07,9.999979e-01
5.500000e-13,1.920764e-06,3.130903e-07,9.999978e-01
5.950000e-13,2.077777e-06,3.384703e-07,9.999976e-01
6.400000e-13,2.234770e-06,3.638147e-07,9.999974e-01
6.850000e-13,2.391742e-06,3.891237e-07,9.999972e-01
7.300000e-13,2.548692e-06,4.143972e-07,9.999970e-01
7.750000e-13,2.705622e-06,4.396353e-07,9.999969e-01
8.200000e-13,2.862530e-06,4.648381e-07,9.999967e-01
8.650000e-13,3.019417e-06,4.900056e-07,9.999965e-01
9.100000e-13,3.176284e-06,5.151379e-07,9.999963e-01
9.550000e-13,3.333129e-06,5.402350e-07,9.999961e-01
1.000000e-12,3.489953e-06,5.652969e-07,9.999959e-01
1.450000e-12,5.057037e-06,8.139945e-07,9.999941e-01
1.900000e-12,6.622019e-06,1.059232e-06,9.999923e-01
2.350000e-12,8.184905e-06,1.301057e-06,9.999905e-01
2.800000e-12,9.745698e-06,1.539518e-06,9.999887e-01
3.250000e-12,1.130440e-05,1.774660e-06,9.999869e-01
3.700000e-12,1.286103e-05,2.006532e-06,9.999851e-01
4.150000e-12,1.441557e-05,2.235176e-06,9.999833e-01
4.600000e-12,1.596804e-05,2.460640e-06,9.999816e-01
5.050000e-12,1.751843e-05,2.682967e-06,9.999798e-01
5.500000e-12,1.906676e-05,2.902200e-06,9.999780e-01
5.950000e-12,2.061303e-05,3.118383e-06,9.999763e-01
6.400000e-12,2.215724e-05,3.331558e-06,9.999745e-01
6.850000e-12,2.369940e-05,3.541767e-06,9.999728e-01
7.300000e-12,2.523951e-05,3.749052e-06,9.999710e-01
7.750000e-12,2.677757e-05,3.953452e-06,9.999693e-01
8.200000e-12,2.831359e-05,4.155008e-06,9.999675e-01
8.650000e-12,2.984758e-05,4.353760e-06,9.999658e-01
9.100000e-12,3.137953e-05,4.549746e-06,9.999641e-01
9.550000e-12,3.290946e-05,4.743006e-06,9.999623e-01
1.000000e-11,3.443736e-05,4.933577e-06,9.999606e-01
1.450000e-11,4.960597e-05,6.699368e-06,9.999437e-01
1.900000e-11,6.457671e-05,8.234295e-06,9.999272e-01
2.350000e-11,7.935356e-05,9.568538e-06,9.999111e-01
2.800000e-11,9.394042e-05,1.072833e-05,9.998953e-01
3.250000e-11,1.083411e-04,1.173648e-05,9.998799e-01
3.700000e-11,1.225591e-04,1.261282e-05,9.998648e-01
4.150000e-11,1.365982e-04,1.337456e-05,9.998500e-01
4.600000e-11,1.504618e-04,1.403670e-05,9.998355e-01
5.050000e-11,1.641533e-04,1.461225e-05,9.998212e-01
5.500000e-11,1.776760e-04,1.511254e-05,9.998072e-01
5.950000e-11,1.910331e-04,1.554739e-05,9.997934e-01
