t(s),RU(S1),N2(S1),N(S1),H(S1),NH3(S1),NH2(S1),NH(S1),N2(S2),N(S2),H(S2),NH3(S2),NH2(S2),NH(S2),RU(S2)
1.000000e-15,6.558345e-01,6.916525e-05,3.248372e-01,1.894130e-02,9.214289e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
1.450000e-15,6.558346e-01,6.916428e-05,3.248372e-01,1.894129e-02,9.242435e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
1.900000e-15,6.558346e-01,6.916331e-05,3.248372e-01,1.894127e-02,9.270115e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
2.350000e-15,6.558346e-01,6.916234e-05,3.248372e-01,1.894126e-02,9.297336e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
2.800000e-15,6.558346e-01,6.916137e-05,3.248372e-01,1.894125e-02,9.324108e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
3.250000e-15,6.558346e-01,6.916040e-05,3.248372e-01,1.894124e-02,9.350436e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
3.700000e-15,6.558346e-01,6.915943e-05,3.248372e-01,1.894123e-02,9.376329e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
4.150000e-15,6.558346e-01,6.915847e-05,3.248372e-01,1.894121e-02,9.401793e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
4.600000e-15,6.558346e-01,6.915750e-05,3.248372e-01,1.894120e-02,9.426836e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
5.050000e-15,6.558346e-01,6.915653e-05,3.248372e-01,1.894119e-02,9.451464e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
5.500000e-15,6.558346e-01,6.915556e-05,3.248372e-01,1.894118e-02,9.475685e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
5.950000e-15,6.558347e-01,6.915459e-05,3.248372e-01,1.894117e-02,9.499506e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
6.400000e-15,6.558347e-01,6.915362e-05,3.248372e-01,1.894116e-02,9.522932e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
6.850000e-15,6.558347e-01,6.915265e-05,3.248372e-01,1.894114e-02,9.545970e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
7.300000e-15,6.558347e-01,6.915169e-05,3.248372e-01,1.894113e-02,9.568627e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
7.750000e-15,6.558347e-01,6.915072e-05,3.248372e-01,1.894112e-02,9.590909e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
8.200000e-15,6.558347e-01,6.914975e-05,3.248372e-01,1.894111e-02,9.612823e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
8.650000e-15,6.558347e-01,6.914878e-05,3.248372e-01,1.894110e-02,9.634374e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
9.100000e-15,6.558347e-01,6.914781e-05,3.248372e-01,1.894108e-02,9.655568e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
9.550000e-15,6.558347e-01,6.914684e-05,3.248372e-01,1.894107e-02,9.676411e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
1.000000e-14,6.558347e-01,6.914588e-05,3.248372e-01,1.894106e-02,9.696910e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
1.450000e-14,6.558349e-01,6.913619e-05,3.248372e-01,1.894094e-02,9.884136e-07,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
1.900000e-14,6.558350e-01,6.912651e-05,3.248372e-01,1.894083e-02,1.004259e-06,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
2.350000e-14,6.558351e-01,6.911683e-05,3.248372e-01,1.894071e-02,1.017669e-06,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
2.800000e-14,6.558352e-01,6.910716e-05,3.248372e-01,1.894059e-02,1.029019e-06,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
3.250000e-14,6.558353e-01,6.909748e-05,3.248372e-01,1.894047e-02,1.038624e-06,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
3.700000e-14,6.558354e-01,6.908780e-05,3.248372e-01,1.894035e-02,1.046753e-06,1.165758e-06,3.156740e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00
