t(s),H2,N2,NH3
1.000000e-15,5.832758e-02,9.505517e-03,-3.279784e-02
1.450000e-15,5.832748e-02,9.505320e-03,-3.214636e-02
1.900000e-15,5.832741e-02,9.505197e-03,-3.174701e-02
2.350000e-15,5.832728e-02,9.504951e-03,-3.096314e-02
2.800000e-15,5.832717e-02,9.504759e-03,-3.036338e-02
3.250000e-15,5.832707e-02,9.504567e-03,-2.977524e-02
3.700000e-15,5.832697e-02,9.504375e-03,-2.919849e-02
4.150000e-15,5.832697e-02,9.504375e-03,-2.919849e-02
4.600000e-15,5.832687e-02,9.504183e-03,-2.863291e-02
5.050000e-15,5.832670e-02,9.503882e-03,-2.776827e-02
5.500000e-15,5.832654e-02,9.503580e-03,-2.692974e-02
5.950000e-15,5.832654e-02,9.503580e-03,-2.692974e-02
6.400000e-15,5.832638e-02,9.503279e-03,-2.611654e-02
6.850000e-15,5.832638e-02,9.503279e-03,-2.611654e-02
7.300000e-15,5.832622e-02,9.502978e-03,-2.532789e-02
7.750000e-15,5.832622e-02,9.502978e-03,-2.532789e-02
8.200000e-15,5.832605e-02,9.502677e-03,-2.456306e-02
8.650000e-15,5.832605e-02,9.502677e-03,-2.456306e-02
9.100000e-15,5.832589e-02,9.502376e-03,-2.382133e-02
9.550000e-15,5.832573e-02,9.502075e-03,-2.310199e-02
1.000000e-14,5.832573e-02,9.502075e-03,-2.310199e-02
1.450000e-14,5.832474e-02,9.500254e-03,-1.919253e-02
1.900000e-14,5.832392e-02,9.498726e-03,-1.642627e-02
2.350000e-14,5.832297e-02,9.496986e-03,-1.375921e-02
2.800000e-14,5.832179e-02,9.494834e-03,-1.104984e-02
3.250000e-14,5.832105e-02,9.493476e-03,-9.622452e-03
3.700000e-14,5.831994e-02,9.491441e-03,-7.819550e-03
4.150000e-14,5.831919e-02,9.490084e-03,-6.809474e-03
4.600000e-14,5.831808e-02,9.488049e-03,-5.533671e-03
5.050000e-14,5.831733e-02,9.486692e-03,-4.818902e-03
5.500000e-14,5.831621e-02,9.484658e-03,-3.916093e-03
5.950000e-14,5.831547e-02,9.483302e-03,-3.410294e-03
6.400000e-14,5.831435e-02,9.481269e-03,-2.771431e-03
6.850000e-14,5.831360e-02,9.479913e-03,-2.413508e-03
7.300000e-14,5.831248e-02,9.477880e-03,-1.961423e-03
7.750000e-14,5.831173e-02,9.476525e-03,-1.708142e-03
8.200000e-14,5.831061e-02,9.474493e-03,-1.388229e-03
8.650000e-14,5.830986e-02,9.473139e-03,-1.208997e-03
9.100000e-14,5.830874e-02,9.471107e-03,-9.826137e-04
9.550000e-14,5.830799e-02,9.469753e-03,-8.557820e-04
1.000000e-13,5.830686e-02,9.467700e-03,-6.939679e-04
1.450000e-13,5.829778e-02,9.451289e-03,-1.302072e-04
1.900000e-13,5.828776e-02,9.433221e-03,-2.115198e-05
2.350000e-13,5.827869e-02,9.416893e-03,-4.637763e-06
2.800000e-13,5.826961e-02,9.400555e-03,-1.545084e-06
3.250000e-13,5.825960e-02,9.382574e-03,-9.462482e-07
3.700000e-13,5.825011e-02,9.365567e-03,-8.559622e-07
4.150000e-13,5.824001e-02,9.347494e-03,-8.366216e-07
4.600000e-13,5.822992e-02,9.329457e-03,-8.363609e-07
5.050000e-13,5.822051e-02,9.312671e-03,-8.360917e-07
5.500000e-13,5.820842e-02,9.291146e-03,-8.356211e-07
5.950000e-13,5.819869e-02,9.273856e-03,-8.358255e-07
6.400000e-13,5.818897e-02,9.256597e-03,-8.353164e-07
6.850000e-13,5.817925e-02,9.239370e-03,-8.355860e-07
7.300000e-13,5.816953e-02,9.222176e-03,-8.351063e-07
7.750000e-13,5.815073e-02,9.189004e-03,-8.344629e-07
8.200000e-13,5.815073e-02,9.189004e-03,-8.344629e-07
8.650000e-13,5.813195e-02,9.155952e-03,-8.340332e-07
9.100000e-13,5.813195e-02,9.155952e-03,-8.340332e-07
9.550000e-13,5.810206e-02,9.103570e-03,-8.340684e-07
1.000000e-12,5.810206e-02,9.103570e-03,-8.340684e-07
1.450000e-12,5.801253e-02,8.948215e-03,-8.311629e-07
1.900000e-12,5.790664e-02,8.767424e-03,-8.309229e-07
2.350000e-12,5.781418e-02,8.612125e-03,-8.280785e-07
2.800000e-12,5.772195e-02,8.459577e-03,-8.279938e-07
3.250000e-12,5.762234e-02,8.297446e-03,-8.263520e-07
3.700000e-12,5.746395e-02,8.045158e-03,-8.239858e-07
4.150000e-12,5.746395e-02,8.045158e-03,-8.239858e-07
4.600000e-12,5.735464e-02,7.874913e-03,-8.222196e-07
5.050000e-12,5.724566e-02,7.708271e-03,-8.214425e-07
5.500000e-12,5.713700e-02,7.545155e-03,-8.193231e-07
5.950000e-12,5.702866e-02,7.385491e-03,-8.165926e-07
6.400000e-12,5.692064e-02,7.229205e-03,-8.156378e-07
6.850000e-12,5.692064e-02,7.229205e-03,-8.156378e-07
7.300000e-12,5.681294e-02,7.076227e-03,-8.139758e-07
7.750000e-12,5.670556e-02,6.926486e-03,-8.120707e-07
8.200000e-12,5.659850e-02,6.779913e-03,-8.105566e-07
8.650000e-12,5.649175e-02,6.636442e-03,-8.089476e-07
9.100000e-12,5.638532e-02,6.496007e-03,-8.072670e-07
9.550000e-12,5.638532e-02,6.496007e-03,-8.072670e-07
1.000000e-11,5.627920e-02,6.358544e-03,-8.056725e-07
1.450000e-11,5.533802e-02,5.245156e-03,-7.914994e-07
1.900000e-11,5.452192e-02,4.420261e-03,-7.794142e-07
2.350000e-11,5.362577e-02,3.646028e-03,-7.663335e-07
2.800000e-11,5.289593e-02,3.105148e-03,-7.558084e-07
3.250000e-11,5.204042e-02,2.560926e-03,-7.435969e-07
3.700000e-11,5.134388e-02,2.181018e-03,-7.337420e-07
4.150000e-11,5.052706e-02,1.798763e-03,-7.222709e-07
4.600000e-11,4.986175e-02,1.531921e-03,-7.129866e-07
