t(s),Temperature(K),Pressure(Pa),Density(kg/m3),U(J/kg)
1.000000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
1.450000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
1.900000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
2.350000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
2.800000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
3.250000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
3.700000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
4.150000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
4.600000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
5.050000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
5.500000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
5.950000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
6.400000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
6.850000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
7.300000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
7.750000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
8.200000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
8.650000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
9.100000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
9.550000e-15,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
1.000000e-14,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
1.450000e-14,9.250000e+02,9.119250e+04,2.019353e-01,-6.062028e+05
1.900000e-14,9.250000e+02,9.119251e+04,2.019353e-01,-6.062027e+05
2.350000e-14,9.250000e+02,9.119251e+04,2.019353e-01,-6.062027e+05
2.800000e-14,9.250000e+02,9.119251e+04,2.019353e-01,-6.062027e+05
3.250000e-14,9.250000e+02,9.119251e+04,2.019353e-01,-6.062027e+05
3.700000e-14,9.250000e+02,9.119251e+04,2.019353e-01,-6.062026e+05
4.150000e-14,9.250000e+02,9.119252e+04,2.019353e-01,-6.062026e+05
4.600000e-14,9.250000e+02,9.119252e+04,2.019353e-01,-6.062026e+05
5.050000e-14,9.250000e+02,9.119252e+04,2.019353e-01,-6.062026e+05
5.500000e-14,9.250000e+02,9.119252e+04,2.019353e-01,-6.062025e+05
5.950000e-14,9.250000e+02,9.119252e+04,2.019353e-01,-6.062025e+05
6.400000e-14,9.250000e+02,9.119253e+04,2.019353e-01,-6.062025e+05
6.850000e-14,9.250000e+02,9.119253e+04,2.019353e-01,-6.062024e+05
7.300000e-14,9.250000e+02,9.119253e+04,2.019353e-01,-6.062024e+05
7.750000e-14,9.250000e+02,9.119253e+04,2.019353e-01,-6.062024e+05
8.200000e-14,9.250000e+02,9.119254e+04,2.019353e-01,-6.062024e+05
8.650000e-14,9.250000e+02,9.119254e+04,2.019353e-01,-6.062023e+05
9.100000e-14,9.250000e+02,9.119254e+04,2.019353e-01,-6.062023e+05
9.550000e-14,9.250000e+02,9.119254e+04,2.019353e-01,-6.062023e+05
1.000000e-13,9.250000e+02,9.119255e+04,2.019353e-01,-6.062023e+05
1.450000e-13,9.250000e+02,9.119257e+04,2.019353e-01,-6.062020e+05
1.900000e-13,9.250000e+02,9.119259e+04,2.019354e-01,-6.062017e+05
2.350000e-13,9.250000e+02,9.119262e+04,2.019354e-01,-6.062014e+05
2.800000e-13,9.250000e+02,9.119264e+04,2.019354e-01,-6.062011e+05
3.250000e-13,9.250000e+02,9.119266e+04,2.019355e-01,-6.062009e+05
3.700000e-13,9.250000e+02,9.119269e+04,2.019355e-01,-6.062006e+05
4.150000e-13,9.250000e+02,9.119271e+04,2.019355e-01,-6.062003e+05
4.600000e-13,9.250000e+02,9.119273e+04,2.019356e-01,-6.062000e+05
5.050000e-13,9.250000e+02,9.119276e+04,2.019356e-01,-6.061997e+05
5.500000e-13,9.250000e+02,9.119278e+04,2.019356e-01,-6.061995e+05
5.950000e-13,9.250000e+02,9.119280e+04,2.019357e-01,-6.061992e+05
6.400000e-13,9.250000e+02,9.119283e+04,2.019357e-01,-6.061989e+05
6.850000e-13,9.250000e+02,9.119285e+04,2.019358e-01,-6.061986e+05
