Fwd Rate        Rev Rate        Net Rate        Partial Equil.  Reaction String                 
6.084269e-03    6.082578e-03    1.691248e-06    5.000695e-01    2 O + M <=> O2 + M
3.386586e-02    3.385346e-02    1.239766e-05    5.000915e-01    H + O + M <=> OH + M
6.738326e+02    6.738352e+02    -2.579272e-03   4.999990e-01    H2 + O <=> H + OH
9.085172e-02    9.084260e-02    9.117011e-06    5.000251e-01    HO2 + O <=> O2 + OH
1.460051e-02    1.460022e-02    2.871552e-07    5.000049e-01    H2O2 + O <=> HO2 + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH + O <=> CO + H
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH2 + O <=> H + HCO
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH2(S) + O <=> CO + H2
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH2(S) + O <=> H + HCO
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH3 + O <=> CH2O + H
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH4 + O <=> CH3 + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CO + O (+M) <=> CO2 (+M)
0.000000e+00    0.000000e+00    0.000000e+00    -nan            HCO + O <=> CO + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            HCO + O <=> CO2 + H
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH2O + O <=> HCO + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH2OH + O <=> CH2O + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH3O + O <=> CH2O + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH3OH + O <=> CH2OH + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH3OH + O <=> CH3O + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            C2H + O <=> CH + CO
0.000000e+00    0.000000e+00    0.000000e+00    -nan            C2H2 + O <=> H + HCCO
0.000000e+00    0.000000e+00    0.000000e+00    -nan            C2H2 + O <=> C2H + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            C2H2 + O <=> CH2 + CO
0.000000e+00    0.000000e+00    0.000000e+00    -nan            C2H3 + O <=> CH2CO + H
0.000000e+00    0.000000e+00    0.000000e+00    -nan            C2H4 + O <=> CH3 + HCO
0.000000e+00    0.000000e+00    0.000000e+00    -nan            C2H5 + O <=> CH2O + CH3
0.000000e+00    0.000000e+00    0.000000e+00    -nan            C2H6 + O <=> C2H5 + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            HCCO + O <=> 2 CO + H
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH2CO + O <=> HCCO + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH2CO + O <=> CH2 + CO2
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CO + O2 <=> CO2 + O
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH2O + O2 <=> HCO + HO2
5.624080e-02    5.622585e-02    1.494641e-05    5.000664e-01    H + O2 + M <=> HO2 + M
2.650481e-03    2.649777e-03    7.043851e-07    5.000664e-01    H + 2 O2 <=> HO2 + O2
1.413088e+00    1.412713e+00    3.755387e-04    5.000664e-01    H + H2O + O2 <=> H2O + HO2
1.753612e-01    1.753146e-01    4.660355e-05    5.000664e-01    H + N2 + O2 <=> HO2 + N2
0.000000e+00    0.000000e+00    0.000000e+00    -nan            AR + H + O2 <=> AR + HO2
1.210970e+02    1.210863e+02    1.067289e-02    5.000220e-01    H + O2 <=> O + OH
5.541709e-02    5.539659e-02    2.049920e-05    5.000925e-01    2 H + M <=> H2 + M
7.225193e-03    7.222520e-03    2.672654e-06    5.000925e-01    2 H + H2 <=> 2 H2
1.685699e-01    1.685076e-01    6.235529e-05    5.000925e-01    2 H + H2O <=> H2 + H2O
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CO2 + 2 H <=> CO2 + H2
1.880865e+00    1.880173e+00    6.923828e-04    5.000920e-01    H + OH + M <=> H2O + M
4.389463e-02    4.388627e-02    8.362591e-06    5.000476e-01    H + HO2 <=> H2O + O
4.620260e-01    4.619779e-01    4.813286e-05    5.000260e-01    H + HO2 <=> H2 + O2
9.346343e-01    9.344581e-01    1.761568e-04    5.000471e-01    H + HO2 <=> 2 OH
4.069680e-02    4.069584e-02    9.561775e-07    5.000059e-01    H + H2O2 <=> H2 + HO2
5.406330e-03    5.405194e-03    1.136296e-06    5.000526e-01    H + H2O2 <=> H2O + OH
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH + H <=> C + H2
0.000000e+00    0.000000e+00    0.000000e+00    -nan            CH2 + H (+M) <=> CH3 (+M)
