t(s),Temperature(K),Pressure(Pa),Density(kg/m3),U(J/kg)
1.000000e-06,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
2.000000e-06,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
3.000000e-06,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
4.000000e-06,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
5.000000e-06,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
6.000000e-06,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
7.000000e-06,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
8.000000e-06,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
9.000000e-06,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
1.000000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
1.100000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
1.200000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
1.300000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
1.400000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
1.500000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
1.600000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
1.700000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
1.800000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
1.900000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
2.000000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
2.100000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
2.200000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
2.300000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
2.400000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
2.500000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
2.600000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
2.700000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
2.800000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
2.900000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
3.000000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
3.100000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
3.200000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
3.300000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
3.400000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
3.500000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
3.600000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
3.700000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
3.800000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
3.900000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
4.000000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
4.100000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
4.200000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
4.300000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
4.400000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
4.500000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
4.600000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
4.700000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
4.800000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
4.900000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
5.000000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
5.100000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
5.200000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
5.300000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
5.400000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
5.500000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
5.600000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
5.700000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
5.800000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
5.900000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
