Species_name    Phase     Surf_cov        O   H   C   N   Ar  
H2              Gas       0               0   2   0   0   0   
H               Gas       0               0   1   0   0   0   
O               Gas       0               1   0   0   0   0   
O2              Gas       0               2   0   0   0   0   
OH              Gas       0               1   1   0   0   0   
H2O             Gas       0               1   2   0   0   0   
HO2             Gas       0               2   1   0   0   0   
H2O2            Gas       0               2   2   0   0   0   
C               Gas       0               0   0   1   0   0   
CH              Gas       0               0   1   1   0   0   
CH2             Gas       0               0   2   1   0   0   
CH2(S)          Gas       0               0   2   1   0   0   
CH3             Gas       0               0   3   1   0   0   
CH4             Gas       0               0   4   1   0   0   
CO              Gas       0               1   0   1   0   0   
CO2             Gas       0               2   0   1   0   0   
HCO             Gas       0               1   1   1   0   0   
CH2O            Gas       0               1   2   1   0   0   
CH2OH           Gas       0               1   3   1   0   0   
CH3O            Gas       0               1   3   1   0   0   
CH3OH           Gas       0               1   4   1   0   0   
C2H             Gas       0               0   1   2   0   0   
C2H2            Gas       0               0   2   2   0   0   
C2H3            Gas       0               0   3   2   0   0   
C2H4            Gas       0               0   4   2   0   0   
C2H5            Gas       0               0   5   2   0   0   
C2H6            Gas       0               0   6   2   0   0   
HCCO            Gas       0               1   1   2   0   0   
CH2CO           Gas       0               1   2   2   0   0   
HCCOH           Gas       0               1   2   2   0   0   
N               Gas       0               0   0   0   1   0   
NH              Gas       0               0   1   0   1   0   
NH2             Gas       0               0   2   0   1   0   
NH3             Gas       0               0   3   0   1   0   
NNH             Gas       0               0   1   0   2   0   
NO              Gas       0               1   0   0   1   0   
NO2             Gas       0               2   0   0   1   0   
N2O             Gas       0               1   0   0   2   0   
HNO             Gas       0               1   1   0   1   0   
CN              Gas       0               0   0   1   1   0   
HCN             Gas       0               0   1   1   1   0   
H2CN            Gas       0               0   2   1   1   0   
HCNN            Gas       0               0   1   1   2   0   
HCNO            Gas       0               1   1   1   1   0   
HOCN            Gas       0               1   1   1   1   0   
HNCO            Gas       0               1   1   1   1   0   
NCO             Gas       0               1   0   1   1   0   
N2              Gas       0               0   0   0   2   0   
AR              Gas       0               0   0   0   0   1   
C3H7            Gas       0               0   7   3   0   0   
C3H8            Gas       0               0   8   3   0   0   
CH2CHO          Gas       0               1   3   2   0   0   
CH3CHO          Gas       0               1   4   2   0   0   
